start Python
Time_data_preparation: 1.1676
Testing expression 3.5[3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5
 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5
 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5
 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5
 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5
Epoch [68/100], lr:0.0035, Loss:0.0246, Time_for_epoch: 23.2175
Epoch [69/100], lr:0.0035, Loss:0.0359, Time_for_epoch: 23.0925
Epoch [70/100], lr:0.0035, Loss:0.0307, Time_for_epoch: 23.0724
Epoch [71/100], lr:0.0035, Loss:0.0215, Time_for_epoch: 23.0079
Epoch [72/100], lr:0.0035, Loss:0.0333, Time_for_epoch: 23.1770
Epoch [73/100], lr:0.0035, Loss:0.0312, Time_for_epoch: 23.0716
Epoch [74/100], lr:0.0035, Loss:0.0233, Time_for_epoch: 23.2066
Epoch [75/100], lr:0.0035, Loss:0.0312, Time_for_epoch: 22.9625
Epoch [76/100], lr:0.0035, Loss:0.0221, Time_for_epoch: 23.1112
Epoch [77/100], lr:0.0035, Loss:0.0273, Time_for_epoch: 23.0682
Epoch [78/100], lr:0.0035, Loss:0.0260, Time_for_epoch: 23.0030
Epoch [79/100], lr:0.0035, Loss:0.0255, Time_for_epoch: 23.1139
Epoch [80/100], lr:0.0035, Loss:0.0230, Time_for_epoch: 23.0792
Epoch [81/100], lr:0.0035, Loss:0.0248, Time_for_epoch: 23.0531
Epoch [82/100], lr:0.0035, Loss:0.0305, Time_for_epoch: 23.0118
Epoch [83/100], lr:0.0035, Loss:0.0235, Time_for_epoch: 23.2176
Epoch [84/100], lr:0.0035, Loss:0.0255, Time_for_epoch: 23.3064
Epoch [85/100], lr:0.0035, Loss:0.0230, Time_for_epoch: 23.3452
Epoch [86/100], lr:0.0035, Loss:0.0254, Time_for_epoch: 23.1979
Epoch [87/100], lr:0.0035, Loss:0.0271, Time_for_epoch: 23.2937
Epoch [88/100], lr:0.0035, Loss:0.0166, Time_for_epoch: 23.1612
Epoch [89/100], lr:0.0035, Loss:0.0246, Time_for_epoch: 22.9304
Epoch [90/100], lr:0.0035, Loss:0.0222, Time_for_epoch: 22.8873
Epoch [91/100], lr:0.0035, Loss:0.0246, Time_for_epoch: 22.8455
Epoch [92/100], lr:0.0035, Loss:0.0200, Time_for_epoch: 22.8183
Epoch [93/100], lr:0.0035, Loss:0.0176, Time_for_epoch: 22.8156
Epoch [94/100], lr:0.0035, Loss:0.0271, Time_for_epoch: 22.8248
Epoch [95/100], lr:0.0035, Loss:0.0224, Time_for_epoch: 22.8675
Epoch [96/100], lr:0.0035, Loss:0.0143, Time_for_epoch: 22.8474
Epoch [97/100], lr:0.0035, Loss:0.0238, Time_for_epoch: 22.8180
Epoch [98/100], lr:0.0035, Loss:0.0258, Time_for_epoch: 22.8288
Epoch [99/100], lr:0.0035, Loss:0.0198, Time_for_epoch: 22.8526
Epoch [100/100], lr:0.0035, Loss:0.0190, Time_for_epoch: 23.0079
TestLoss: 0.8823, TestAccuracy: 0.8591, Time_for_individ: 2315.3367
Epoch [1/100], lr:0.0035, Loss:1.4446, Time_for_epoch: 22.8907
Epoch [2/100], lr:0.0035, Loss:0.9648, Time_for_epoch: 22.8067
Epoch [3/100], lr:0.0035, Loss:0.7577, Time_for_epoch: 22.8565
Epoch [4/100], lr:0.0035, Loss:0.6325, Time_for_epoch: 22.8431
Epoch [5/100], lr:0.0035, Loss:0.5520, Time_for_epoch: 22.8569
Epoch [6/100], lr:0.0035, Loss:0.4867, Time_for_epoch: 22.8400
Epoch [7/100], lr:0.0035, Loss:0.4353, Time_for_epoch: 22.7798
Epoch [8/100], lr:0.0035, Loss:0.3902, Time_for_epoch: 22.8047
Epoch [9/100], lr:0.0035, Loss:0.3511, Time_for_epoch: 22.8368
Epoch [10/100], lr:0.0035, Loss:0.3175, Time_for_epoch: 22.8476
Epoch [11/100], lr:0.0035, Loss:0.2869, Time_for_epoch: 22.8487
Epoch [12/100], lr:0.0035, Loss:0.2604, Time_for_epoch: 22.8466
Epoch [13/100], lr:0.0035, Loss:0.2348, Time_for_epoch: 22.8618
Epoch [14/100], lr:0.0035, Loss:0.2156, Time_for_epoch: 22.8641
Epoch [15/100], lr:0.0035, Loss:0.1975, Time_for_epoch: 22.8496
Epoch [16/100], lr:0.0035, Loss:0.1718, Time_for_epoch: 22.8512
Epoch [17/100], lr:0.0035, Loss:0.1636, Time_for_epoch: 22.8478
Epoch [18/100], lr:0.0035, Loss:0.1415, Time_for_epoch: 22.8649
Epoch [19/100], lr:0.0035, Loss:0.1345, Time_for_epoch: 22.8651
Epoch [20/100], lr:0.0035, Loss:0.1340, Time_for_epoch: 22.8499
Epoch [21/100], lr:0.0035, Loss:0.1162, Time_for_epoch: 22.7884
Epoch [22/100], lr:0.0035, Loss:0.1065, Time_for_epoch: 22.7804
Epoch [23/100], lr:0.0035, Loss:0.1002, Time_for_epoch: 22.7811
Epoch [24/100], lr:0.0035, Loss:0.0981, Time_for_epoch: 22.7876
Epoch [25/100], lr:0.0035, Loss:0.0945, Time_for_epoch: 22.7808
Epoch [26/100], lr:0.0035, Loss:0.0883, Time_for_epoch: 22.7807
Epoch [27/100], lr:0.0035, Loss:0.0845, Time_for_epoch: 22.7900
Epoch [28/100], lr:0.0035, Loss:0.0823, Time_for_epoch: 22.7767
Epoch [29/100], lr:0.0035, Loss:0.0770, Time_for_epoch: 22.7691
Epoch [30/100], lr:0.0035, Loss:0.0674, Time_for_epoch: 22.7881
Epoch [31/100], lr:0.0035, Loss:0.0723, Time_for_epoch: 22.7714
Epoch [32/100], lr:0.0035, Loss:0.0697, Time_for_epoch: 22.7753
Epoch [33/100], lr:0.0035, Loss:0.0696, Time_for_epoch: 22.7906
Epoch [34/100], lr:0.0035, Loss:0.0586, Time_for_epoch: 22.7635
Epoch [35/100], lr:0.0035, Loss:0.0589, Time_for_epoch: 22.7788
Epoch [36/100], lr:0.0035, Loss:0.0596, Time_for_epoch: 22.7777
Epoch [37/100], lr:0.0035, Loss:0.0611, Time_for_epoch: 22.7917
Epoch [38/100], lr:0.0035, Loss:0.0511, Time_for_epoch: 22.7914
Epoch [39/100], lr:0.0035, Loss:0.0595, Time_for_epoch: 22.7838
Epoch [40/100], lr:0.0035, Loss:0.0468, Time_for_epoch: 22.7622
Epoch [41/100], lr:0.0035, Loss:0.0518, Time_for_epoch: 22.7930
Epoch [42/100], lr:0.0035, Loss:0.0559, Time_for_epoch: 22.7804
Epoch [43/100], lr:0.0035, Loss:0.0508, Time_for_epoch: 22.7850
Epoch [44/100], lr:0.0035, Loss:0.0398, Time_for_epoch: 22.7870
Epoch [45/100], lr:0.0035, Loss:0.0530, Time_for_epoch: 22.7693
Epoch [46/100], lr:0.0035, Loss:0.0443, Time_for_epoch: 22.8392
Epoch [47/100], lr:0.0035, Loss:0.0439, Time_for_epoch: 22.8617
Epoch [48/100], lr:0.0035, Loss:0.0401, Time_for_epoch: 22.8417
Epoch [49/100], lr:0.0035, Loss:0.0490, Time_for_epoch: 22.8267
Epoch [50/100], lr:0.0035, Loss:0.0414, Time_for_epoch: 22.7697
Epoch [51/100], lr:0.0035, Loss:0.0426, Time_for_epoch: 22.7823
Epoch [52/100], lr:0.0035, Loss:0.0386, Time_for_epoch: 22.7899
Epoch [53/100], lr:0.0035, Loss:0.0402, Time_for_epoch: 22.7884
Epoch [54/100], lr:0.0035, Loss:0.0387, Time_for_epoch: 22.7728
Epoch [55/100], lr:0.0035, Loss:0.0360, Time_for_epoch: 22.7766
Epoch [56/100], lr:0.0035, Loss:0.0336, Time_for_epoch: 22.7710
Epoch [57/100], lr:0.0035, Loss:0.0434, Time_for_epoch: 22.7965
Epoch [58/100], lr:0.0035, Loss:0.0375, Time_for_epoch: 22.7730
Epoch [59/100], lr:0.0035, Loss:0.0345, Time_for_epoch: 22.8150
Epoch [60/100], lr:0.0035, Loss:0.0343, Time_for_epoch: 22.7739
Epoch [61/100], lr:0.0035, Loss:0.0304, Time_for_epoch: 22.7747
Epoch [62/100], lr:0.0035, Loss:0.0393, Time_for_epoch: 22.7702
Epoch [63/100], lr:0.0035, Loss:0.0295, Time_for_epoch: 22.7562
Epoch [64/100], lr:0.0035, Loss:0.0341, Time_for_epoch: 22.7571
Epoch [65/100], lr:0.0035, Loss:0.0310, Time_for_epoch: 22.7462
Epoch [66/100], lr:0.0035, Loss:0.0304, Time_for_epoch: 22.7456
Epoch [67/100], lr:0.0035, Loss:0.0337, Time_for_epoch: 22.7656
Epoch [68/100], lr:0.0035, Loss:0.0277, Time_for_epoch: 22.7563
Epoch [69/100], lr:0.0035, Loss:0.0346, Time_for_epoch: 22.7568
Epoch [70/100], lr:0.0035, Loss:0.0286, Time_for_epoch: 22.7592
Epoch [71/100], lr:0.0035, Loss:0.0255, Time_for_epoch: 22.7552
Epoch [72/100], lr:0.0035, Loss:0.0366, Time_for_epoch: 22.7655
Epoch [73/100], lr:0.0035, Loss:0.0231, Time_for_epoch: 22.7534
Epoch [74/100], lr:0.0035, Loss:0.0244, Time_for_epoch: 22.7447
Epoch [75/100], lr:0.0035, Loss:0.0334, Time_for_epoch: 22.7608
Epoch [76/100], lr:0.0035, Loss:0.0258, Time_for_epoch: 22.7576
Epoch [77/100], lr:0.0035, Loss:0.0285, Time_for_epoch: 22.7519
Epoch [78/100], lr:0.0035, Loss:0.0256, Time_for_epoch: 22.7602
Epoch [79/100], lr:0.0035, Loss:0.0240, Time_for_epoch: 22.7588
Epoch [80/100], lr:0.0035, Loss:0.0255, Time_for_epoch: 22.7584
Epoch [81/100], lr:0.0035, Loss:0.0284, Time_for_epoch: 22.7424
Epoch [82/100], lr:0.0035, Loss:0.0234, Time_for_epoch: 22.7428
Epoch [83/100], lr:0.0035, Loss:0.0272, Time_for_epoch: 22.7436
Epoch [84/100], lr:0.0035, Loss:0.0232, Time_for_epoch: 22.7588
Epoch [85/100], lr:0.0035, Loss:0.0238, Time_for_epoch: 22.7996
Epoch [86/100], lr:0.0035, Loss:0.0202, Time_for_epoch: 22.7639
Epoch [87/100], lr:0.0035, Loss:0.0308, Time_for_epoch: 22.7515
Epoch [88/100], lr:0.0035, Loss:0.0250, Time_for_epoch: 22.7529
Epoch [89/100], lr:0.0035, Loss:0.0199, Time_for_epoch: 22.7496
Epoch [90/100], lr:0.0035, Loss:0.0173, Time_for_epoch: 22.7561
Epoch [91/100], lr:0.0035, Loss:0.0248, Time_for_epoch: 22.7534
Epoch [92/100], lr:0.0035, Loss:0.0230, Time_for_epoch: 22.7589
Epoch [93/100], lr:0.0035, Loss:0.0233, Time_for_epoch: 22.7649
Epoch [94/100], lr:0.0035, Loss:0.0208, Time_for_epoch: 22.7501
Epoch [95/100], lr:0.0035, Loss:0.0178, Time_for_epoch: 22.7421
Epoch [96/100], lr:0.0035, Loss:0.0229, Time_for_epoch: 22.8177
Epoch [97/100], lr:0.0035, Loss:0.0243, Time_for_epoch: 22.7974
Epoch [98/100], lr:0.0035, Loss:0.0198, Time_for_epoch: 22.7408
Epoch [99/100], lr:0.0035, Loss:0.0178, Time_for_epoch: 22.7575
Epoch [100/100], lr:0.0035, Loss:0.0224, Time_for_epoch: 22.7589
TestLoss: 0.8922, TestAccuracy: 0.8517, Time_for_individ: 2280.9362
Epoch [1/100], lr:0.0035, Loss:1.4049, Time_for_epoch: 22.7324
Epoch [2/100], lr:0.0035, Loss:0.9691, Time_for_epoch: 22.7103
Epoch [3/100], lr:0.0035, Loss:0.7722, Time_for_epoch: 22.7303
Epoch [4/100], lr:0.0035, Loss:0.6412, Time_for_epoch: 22.7318
Epoch [5/100], lr:0.0035, Loss:0.5555, Time_for_epoch: 22.7170
Epoch [6/100], lr:0.0035, Loss:0.4907, Time_for_epoch: 22.7163
Epoch [7/100], lr:0.0035, Loss:0.4417, Time_for_epoch: 22.7339
Epoch [8/100], lr:0.0035, Loss:0.3965, Time_for_epoch: 22.7192
Epoch [9/100], lr:0.0035, Loss:0.3615, Time_for_epoch: 22.7196
Epoch [10/100], lr:0.0035, Loss:0.3211, Time_for_epoch: 22.7147
Epoch [11/100], lr:0.0035, Loss:0.2947, Time_for_epoch: 22.7206
Epoch [12/100], lr:0.0035, Loss:0.2733, Time_for_epoch: 22.8876
Epoch [13/100], lr:0.0035, Loss:0.2401, Time_for_epoch: 22.8766
Epoch [14/100], lr:0.0035, Loss:0.2230, Time_for_epoch: 22.8863
Epoch [15/100], lr:0.0035, Loss:0.1970, Time_for_epoch: 22.9233
Epoch [16/100], lr:0.0035, Loss:0.1828, Time_for_epoch: 22.9108
Epoch [17/100], lr:0.0035, Loss:0.1658, Time_for_epoch: 22.9037
Epoch [18/100], lr:0.0035, Loss:0.1534, Time_for_epoch: 22.9218
Epoch [19/100], lr:0.0035, Loss:0.1436, Time_for_epoch: 22.8978
Epoch [20/100], lr:0.0035, Loss:0.1277, Time_for_epoch: 22.8728
Epoch [21/100], lr:0.0035, Loss:0.1312, Time_for_epoch: 22.8646
Epoch [22/100], lr:0.0035, Loss:0.1104, Time_for_epoch: 22.8815
Epoch [23/100], lr:0.0035, Loss:0.1113, Time_for_epoch: 22.8828
Epoch [24/100], lr:0.0035, Loss:0.0984, Time_for_epoch: 22.9502
Epoch [25/100], lr:0.0035, Loss:0.0922, Time_for_epoch: 22.8901
Epoch [26/100], lr:0.0035, Loss:0.0905, Time_for_epoch: 22.8948
Epoch [27/100], lr:0.0035, Loss:0.0830, Time_for_epoch: 22.8851
Epoch [28/100], lr:0.0035, Loss:0.0847, Time_for_epoch: 22.8792
Epoch [29/100], lr:0.0035, Loss:0.0783, Time_for_epoch: 22.8779
Epoch [30/100], lr:0.0035, Loss:0.0735, Time_for_epoch: 22.9066
Epoch [31/100], lr:0.0035, Loss:0.0764, Time_for_epoch: 22.8929
Epoch [32/100], lr:0.0035, Loss:0.0726, Time_for_epoch: 22.8693
Epoch [33/100], lr:0.0035, Loss:0.0656, Time_for_epoch: 22.8832
Epoch [34/100], lr:0.0035, Loss:0.0636, Time_for_epoch: 22.8766
Epoch [35/100], lr:0.0035, Loss:0.0698, Time_for_epoch: 22.8721
Epoch [36/100], lr:0.0035, Loss:0.0568, Time_for_epoch: 22.8828
Epoch [37/100], lr:0.0035, Loss:0.0583, Time_for_epoch: 22.8696
Epoch [38/100], lr:0.0035, Loss:0.0597, Time_for_epoch: 22.8864
Epoch [39/100], lr:0.0035, Loss:0.0540, Time_for_epoch: 22.8772
Epoch [40/100], lr:0.0035, Loss:0.0538, Time_for_epoch: 22.8981
Epoch [41/100], lr:0.0035, Loss:0.0576, Time_for_epoch: 23.0067
Epoch [42/100], lr:0.0035, Loss:0.0504, Time_for_epoch: 23.1842
Epoch [43/100], lr:0.0035, Loss:0.0463, Time_for_epoch: 22.8849
Epoch [44/100], lr:0.0035, Loss:0.0522, Time_for_epoch: 22.8944
Epoch [45/100], lr:0.0035, Loss:0.0496, Time_for_epoch: 22.8803
