start Python
Time_data_preparation: 1.1929
Method 0: Epoch [69/100], lr:0.0046, Loss:0.0114, Time_for_epoch: 37.6878
Method 0: Epoch [70/100], lr:0.0028, Loss:0.0031, Time_for_epoch: 37.3191
Method 0: Epoch [71/100], lr:0.0010, Loss:0.0011, Time_for_epoch: 37.5366
Method 0: Epoch [72/100], lr:0.0028, Loss:0.0008, Time_for_epoch: 38.3026
Method 0: Epoch [73/100], lr:0.0046, Loss:0.0194, Time_for_epoch: 38.4353
Method 0: Epoch [74/100], lr:0.0064, Loss:0.0764, Time_for_epoch: 38.2379
Method 0: Epoch [75/100], lr:0.0082, Loss:0.0715, Time_for_epoch: 38.2512
Method 0: Epoch [76/100], lr:0.0100, Loss:0.0834, Time_for_epoch: 38.3319
Method 0: Epoch [77/100], lr:0.0082, Loss:0.0434, Time_for_epoch: 38.0628
Method 0: Epoch [78/100], lr:0.0064, Loss:0.0202, Time_for_epoch: 38.2995
Method 0: Epoch [79/100], lr:0.0046, Loss:0.0088, Time_for_epoch: 38.4387
Method 0: Epoch [80/100], lr:0.0028, Loss:0.0031, Time_for_epoch: 38.2842
Method 0: Epoch [81/100], lr:0.0010, Loss:0.0010, Time_for_epoch: 38.4980
Method 0: Epoch [82/100], lr:0.0028, Loss:0.0008, Time_for_epoch: 38.4165
Method 0: Epoch [83/100], lr:0.0046, Loss:0.0156, Time_for_epoch: 37.3158
Method 0: Epoch [84/100], lr:0.0064, Loss:0.0666, Time_for_epoch: 37.3172
Method 0: Epoch [85/100], lr:0.0082, Loss:0.0571, Time_for_epoch: 37.2796
Method 0: Epoch [86/100], lr:0.0100, Loss:0.0739, Time_for_epoch: 37.9015
Method 0: Epoch [87/100], lr:0.0082, Loss:0.0371, Time_for_epoch: 37.6539
Method 0: Epoch [88/100], lr:0.0064, Loss:0.0189, Time_for_epoch: 37.3042
Method 0: Epoch [89/100], lr:0.0046, Loss:0.0065, Time_for_epoch: 37.6098
Method 0: Epoch [90/100], lr:0.0028, Loss:0.0020, Time_for_epoch: 37.3071
Method 0: Epoch [91/100], lr:0.0010, Loss:0.0008, Time_for_epoch: 37.7191
Method 0: Epoch [92/100], lr:0.0028, Loss:0.0006, Time_for_epoch: 37.2789
Method 0: Epoch [93/100], lr:0.0046, Loss:0.0004, Time_for_epoch: 37.8886
Method 0: Epoch [94/100], lr:0.0064, Loss:0.0663, Time_for_epoch: 37.7947
