start Python
Time_data_preparation: 1.0761
General 0
log(cos(-0.432217))
(-cos(x00))
(exp(x01)*(0.703275-(-0.880432)))
sin(cos(-1.188350))
(-(x01)**((-1.497571)))
(-sin(0.027047))
((x00-x00)*(2.718282/x00))
sin(sin(0.190319))
log((x00*x01))
(-(1.078782/0.093223))
((-(-1.786595))/((-0.540721))**(x00))
(cos(x00)-exp(2.476718))
((-x01)-(x01*0.365828))
(sin(x01)-1/(1.204077))
((x01*x01)/(x01+(-0.348308)))
((x01/(-0.136366))-(-x00))
(((-0.993216)-(-0.624810))-(-x01))
(log(3.141593, 1.044160)-exp(0.222804))
exp(exp(1.157957))
(log(1.230255, x01)/sin(3.141593))
Gen 0 Tree 1: Epoch [9/100], lr:0.0009, Loss:1049.4941, Time_for_epoch: 21.9785
Gen 0 Tree 1: Epoch [10/100], lr:0.0008, Loss:386.1951, Time_for_epoch: 21.9631
Gen 0 Tree 1: Epoch [11/100], lr:-0.0000, Loss:264.8473, Time_for_epoch: 22.1259
Gen 0 Tree 1: Epoch [12/100], lr:-0.0008, Loss:9597.2531, Time_for_epoch: 22.1147
Gen 0 Tree 1: Epoch [13/100], lr:-0.0009, Loss:16323.6564, Time_for_epoch: 22.0987
Tree 1 is not valid
Gen 0 Tree 2: Epoch [1/100], lr:0.0016, Loss:1.3889, Time_for_epoch: 22.1658
Gen 0 Tree 2: Epoch [2/100], lr:0.0016, Loss:0.9002, Time_for_epoch: 22.1065
Gen 0 Tree 2: Epoch [3/100], lr:0.0016, Loss:0.6990, Time_for_epoch: 22.1149
Gen 0 Tree 2: Epoch [4/100], lr:0.0016, Loss:0.5727, Time_for_epoch: 22.1125
Gen 0 Tree 2: Epoch [5/100], lr:0.0016, Loss:0.4909, Time_for_epoch: 22.1061
Gen 0 Tree 2: Epoch [6/100], lr:0.0016, Loss:0.4284, Time_for_epoch: 22.1198
Gen 0 Tree 2: Epoch [7/100], lr:0.0016, Loss:0.3702, Time_for_epoch: 22.1256
Gen 0 Tree 2: Epoch [8/100], lr:0.0016, Loss:0.3268, Time_for_epoch: 22.1334
Gen 0 Tree 2: Epoch [9/100], lr:0.0016, Loss:0.2905, Time_for_epoch: 22.0572
Gen 0 Tree 2: Epoch [10/100], lr:0.0016, Loss:0.2455, Time_for_epoch: 21.5441
Gen 0 Tree 2: Epoch [11/100], lr:0.0014, Loss:0.2007, Time_for_epoch: 21.5934
Gen 0 Tree 2: Epoch [12/100], lr:0.0014, Loss:0.1728, Time_for_epoch: 21.5693
Gen 0 Tree 2: Epoch [13/100], lr:0.0014, Loss:0.1594, Time_for_epoch: 21.5580
Gen 0 Tree 2: Epoch [14/100], lr:0.0014, Loss:0.1400, Time_for_epoch: 21.5720
Gen 0 Tree 2: Epoch [15/100], lr:0.0014, Loss:0.1376, Time_for_epoch: 21.5613
Gen 0 Tree 2: Epoch [16/100], lr:0.0014, Loss:0.1184, Time_for_epoch: 21.5920
Gen 0 Tree 2: Epoch [17/100], lr:0.0014, Loss:0.1063, Time_for_epoch: 21.5614
Gen 0 Tree 2: Epoch [18/100], lr:0.0014, Loss:0.1021, Time_for_epoch: 21.5553
Gen 0 Tree 2: Epoch [19/100], lr:0.0014, Loss:0.0846, Time_for_epoch: 21.5480
Gen 0 Tree 2: Epoch [20/100], lr:0.0014, Loss:0.0976, Time_for_epoch: 21.5541
Gen 0 Tree 2: Epoch [21/100], lr:0.0015, Loss:0.1008, Time_for_epoch: 21.5552
Gen 0 Tree 2: Epoch [22/100], lr:0.0015, Loss:0.0976, Time_for_epoch: 21.5614
Gen 0 Tree 2: Epoch [23/100], lr:0.0015, Loss:0.0781, Time_for_epoch: 21.5599
Gen 0 Tree 2: Epoch [24/100], lr:0.0015, Loss:0.0811, Time_for_epoch: 21.5374
Gen 0 Tree 2: Epoch [25/100], lr:0.0015, Loss:0.0762, Time_for_epoch: 21.5481
Gen 0 Tree 2: Epoch [26/100], lr:0.0015, Loss:0.0767, Time_for_epoch: 21.5621
Gen 0 Tree 2: Epoch [27/100], lr:0.0015, Loss:0.0683, Time_for_epoch: 21.5468
Gen 0 Tree 2: Epoch [28/100], lr:0.0015, Loss:0.0756, Time_for_epoch: 21.5604
Gen 0 Tree 2: Epoch [29/100], lr:0.0015, Loss:0.0560, Time_for_epoch: 21.5618
Gen 0 Tree 2: Epoch [30/100], lr:0.0015, Loss:0.0648, Time_for_epoch: 21.5460
Gen 0 Tree 2: Epoch [31/100], lr:0.0016, Loss:0.0642, Time_for_epoch: 21.5822
Gen 0 Tree 2: Epoch [32/100], lr:0.0016, Loss:0.0637, Time_for_epoch: 21.5502
Gen 0 Tree 2: Epoch [33/100], lr:0.0016, Loss:0.0599, Time_for_epoch: 21.5478
Gen 0 Tree 2: Epoch [34/100], lr:0.0016, Loss:0.0565, Time_for_epoch: 21.5613
Gen 0 Tree 2: Epoch [35/100], lr:0.0016, Loss:0.0600, Time_for_epoch: 21.5517
Gen 0 Tree 2: Epoch [36/100], lr:0.0016, Loss:0.0513, Time_for_epoch: 21.5505
Gen 0 Tree 2: Epoch [37/100], lr:0.0016, Loss:0.0543, Time_for_epoch: 21.5603
Gen 0 Tree 2: Epoch [38/100], lr:0.0016, Loss:0.0544, Time_for_epoch: 21.5601
Gen 0 Tree 2: Epoch [39/100], lr:0.0016, Loss:0.0469, Time_for_epoch: 21.5812
Gen 0 Tree 2: Epoch [40/100], lr:0.0016, Loss:0.0513, Time_for_epoch: 22.1776
Gen 0 Tree 2: Epoch [41/100], lr:0.0016, Loss:0.0490, Time_for_epoch: 22.1312
Gen 0 Tree 2: Epoch [42/100], lr:0.0016, Loss:0.0468, Time_for_epoch: 22.1142
