start Python
Time_data_preparation: 1.1184
General 0
exp(exp(0.435222))
((0.148270-0.646770)-(x00)**(0.188513))
(sin(-0.187363)/((-1.193145)/3.141593))
Gen 0 Tree 0: Epoch [59/100], lr:0.0047, Loss:0.0411, Time_for_epoch: 34.5101
Gen 0 Tree 0: Epoch [60/100], lr:0.0047, Loss:0.0433, Time_for_epoch: 34.4902
Gen 0 Tree 0: Epoch [61/100], lr:0.0047, Loss:0.0324, Time_for_epoch: 34.4938
Gen 0 Tree 0: Epoch [62/100], lr:0.0047, Loss:0.0371, Time_for_epoch: 34.4992
Gen 0 Tree 0: Epoch [63/100], lr:0.0047, Loss:0.0371, Time_for_epoch: 34.5162
Gen 0 Tree 0: Epoch [64/100], lr:0.0047, Loss:0.0320, Time_for_epoch: 34.5000
Gen 0 Tree 0: Epoch [65/100], lr:0.0047, Loss:0.0283, Time_for_epoch: 34.5187
Gen 0 Tree 0: Epoch [66/100], lr:0.0047, Loss:0.0380, Time_for_epoch: 34.5350
Gen 0 Tree 0: Epoch [67/100], lr:0.0047, Loss:0.0353, Time_for_epoch: 34.5497
Gen 0 Tree 0: Epoch [68/100], lr:0.0047, Loss:0.0323, Time_for_epoch: 34.5370
Gen 0 Tree 0: Epoch [69/100], lr:0.0047, Loss:0.0351, Time_for_epoch: 34.5315
Gen 0 Tree 0: Epoch [70/100], lr:0.0047, Loss:0.0277, Time_for_epoch: 34.5350
Gen 0 Tree 0: Epoch [71/100], lr:0.0047, Loss:0.0303, Time_for_epoch: 34.5404
Gen 0 Tree 0: Epoch [72/100], lr:0.0047, Loss:0.0315, Time_for_epoch: 34.5264
Gen 0 Tree 0: Epoch [73/100], lr:0.0047, Loss:0.0266, Time_for_epoch: 34.5256
Gen 0 Tree 0: Epoch [74/100], lr:0.0047, Loss:0.0314, Time_for_epoch: 34.4989
Gen 0 Tree 0: Epoch [75/100], lr:0.0047, Loss:0.0325, Time_for_epoch: 34.4739
Gen 0 Tree 0: Epoch [76/100], lr:0.0047, Loss:0.0288, Time_for_epoch: 34.4702
Gen 0 Tree 0: Epoch [77/100], lr:0.0047, Loss:0.0304, Time_for_epoch: 34.4816
Gen 0 Tree 0: Epoch [78/100], lr:0.0047, Loss:0.0322, Time_for_epoch: 34.4678
Gen 0 Tree 0: Epoch [79/100], lr:0.0047, Loss:0.0266, Time_for_epoch: 34.4760
Gen 0 Tree 0: Epoch [80/100], lr:0.0047, Loss:0.0203, Time_for_epoch: 34.4796
Gen 0 Tree 0: Epoch [81/100], lr:0.0047, Loss:0.0284, Time_for_epoch: 34.4806
Gen 0 Tree 0: Epoch [82/100], lr:0.0047, Loss:0.0289, Time_for_epoch: 34.4933
Gen 0 Tree 0: Epoch [83/100], lr:0.0047, Loss:0.0237, Time_for_epoch: 34.4853
Gen 0 Tree 0: Epoch [84/100], lr:0.0047, Loss:0.0336, Time_for_epoch: 34.4659
Gen 0 Tree 0: Epoch [85/100], lr:0.0047, Loss:0.0276, Time_for_epoch: 34.4756
Gen 0 Tree 0: Epoch [86/100], lr:0.0047, Loss:0.0187, Time_for_epoch: 34.4831
Gen 0 Tree 0: Epoch [87/100], lr:0.0047, Loss:0.0238, Time_for_epoch: 34.4702
Gen 0 Tree 0: Epoch [88/100], lr:0.0047, Loss:0.0237, Time_for_epoch: 34.4676
Gen 0 Tree 0: Epoch [89/100], lr:0.0047, Loss:0.0313, Time_for_epoch: 34.4573
Gen 0 Tree 0: Epoch [90/100], lr:0.0047, Loss:0.0249, Time_for_epoch: 34.4771
Gen 0 Tree 0: Epoch [91/100], lr:0.0047, Loss:0.0168, Time_for_epoch: 34.4721
Gen 0 Tree 0: Epoch [92/100], lr:0.0047, Loss:0.0247, Time_for_epoch: 34.4794
Gen 0 Tree 0: Epoch [93/100], lr:0.0047, Loss:0.0272, Time_for_epoch: 34.4868
Gen 0 Tree 0: Epoch [94/100], lr:0.0047, Loss:0.0212, Time_for_epoch: 34.4773
Gen 0 Tree 0: Epoch [95/100], lr:0.0047, Loss:0.0232, Time_for_epoch: 34.4744
Gen 0 Tree 0: Epoch [96/100], lr:0.0047, Loss:0.0229, Time_for_epoch: 34.4886
Gen 0 Tree 0: Epoch [97/100], lr:0.0047, Loss:0.0242, Time_for_epoch: 34.5444
Gen 0 Tree 0: Epoch [98/100], lr:0.0047, Loss:0.0224, Time_for_epoch: 34.5764
Gen 0 Tree 0: Epoch [99/100], lr:0.0047, Loss:0.0196, Time_for_epoch: 34.5688
Gen 0 Tree 0: Epoch [100/100], lr:0.0047, Loss:0.0266, Time_for_epoch: 34.6005
Tree 0: TestLoss: 0.8361, TestAccuracy: 0.8598, Time_for_individ: 3456.4499
Gen 0 Tree 1: Epoch [1/100], lr:-0.0015, Loss:816.2359, Time_for_epoch: 34.5106
Gen 0 Tree 1: Epoch [2/100], lr:-0.0016, Loss:5451.7421, Time_for_epoch: 34.5487
Gen 0 Tree 1: Epoch [3/100], lr:-0.0017, Loss:15359.0202, Time_for_epoch: 34.5081
Tree 1 is not valid
Gen 0 Tree 2: Epoch [1/100], lr:0.0005, Loss:1.4827, Time_for_epoch: 34.5789
Gen 0 Tree 2: Epoch [2/100], lr:0.0005, Loss:1.0525, Time_for_epoch: 34.5465
Gen 0 Tree 2: Epoch [3/100], lr:0.0005, Loss:0.8301, Time_for_epoch: 34.5668
