start Python
Time_data_preparation: 1.1905
Testing scheduler 0: StepLRMethod 0: Epoch [1/100], lr:0.0100, Loss:1.6946, Time_for_epoch: 26.6739
Method 0: Epoch [69/100], lr:0.0032, Loss:0.0186, Time_for_epoch: 47.5128
Method 0: Epoch [70/100], lr:0.0031, Loss:0.0118, Time_for_epoch: 47.3417
Method 0: Epoch [71/100], lr:0.0031, Loss:0.0086, Time_for_epoch: 47.4964
Method 0: Epoch [72/100], lr:0.0031, Loss:0.0087, Time_for_epoch: 47.5054
Method 0: Epoch [73/100], lr:0.0029, Loss:0.0076, Time_for_epoch: 47.5821
Method 0: Epoch [74/100], lr:0.0029, Loss:0.0122, Time_for_epoch: 47.4735
Method 0: Epoch [75/100], lr:0.0029, Loss:0.0118, Time_for_epoch: 38.9005
Method 0: Epoch [76/100], lr:0.0028, Loss:0.0080, Time_for_epoch: 37.8990
Method 0: Epoch [77/100], lr:0.0028, Loss:0.0069, Time_for_epoch: 38.1500
Method 0: Epoch [78/100], lr:0.0028, Loss:0.0068, Time_for_epoch: 38.0725
Method 0: Epoch [79/100], lr:0.0026, Loss:0.0084, Time_for_epoch: 38.7320
Method 0: Epoch [80/100], lr:0.0026, Loss:0.0061, Time_for_epoch: 37.8440
Method 0: Epoch [81/100], lr:0.0026, Loss:0.0080, Time_for_epoch: 37.6128
Method 0: Epoch [82/100], lr:0.0025, Loss:0.0067, Time_for_epoch: 41.7260
Method 0: Epoch [83/100], lr:0.0025, Loss:0.0058, Time_for_epoch: 47.7591
Method 0: Epoch [84/100], lr:0.0025, Loss:0.0087, Time_for_epoch: 47.4950
Method 0: Epoch [85/100], lr:0.0024, Loss:0.0064, Time_for_epoch: 47.3352
Method 0: Epoch [86/100], lr:0.0024, Loss:0.0076, Time_for_epoch: 47.4774
Method 0: Epoch [87/100], lr:0.0024, Loss:0.0059, Time_for_epoch: 44.5821
Method 0: Epoch [88/100], lr:0.0023, Loss:0.0023, Time_for_epoch: 38.5818
Method 0: Epoch [89/100], lr:0.0023, Loss:0.0044, Time_for_epoch: 37.8187
Method 0: Epoch [90/100], lr:0.0023, Loss:0.0063, Time_for_epoch: 38.1659
Method 0: Epoch [91/100], lr:0.0021, Loss:0.0047, Time_for_epoch: 37.5549
Method 0: Epoch [92/100], lr:0.0021, Loss:0.0031, Time_for_epoch: 38.6788
Method 0: Epoch [93/100], lr:0.0021, Loss:0.0047, Time_for_epoch: 43.7852
Method 0: Epoch [94/100], lr:0.0020, Loss:0.0063, Time_for_epoch: 47.5432
Method 0: Epoch [95/100], lr:0.0020, Loss:0.0051, Time_for_epoch: 42.1874
Method 0: Epoch [96/100], lr:0.0020, Loss:0.0035, Time_for_epoch: 37.7171
Method 0: Epoch [97/100], lr:0.0019, Loss:0.0033, Time_for_epoch: 37.4449
Method 0: Epoch [98/100], lr:0.0019, Loss:0.0058, Time_for_epoch: 37.9671
Method 0: Epoch [99/100], lr:0.0019, Loss:0.0034, Time_for_epoch: 37.9172
Method 0: Epoch [100/100], lr:0.0018, Loss:0.0042, Time_for_epoch: 43.4868
Method 0: TestLoss: 1.1418, TestAccuracy: 0.8607, Time_for_individ: 3924.8455
Testing scheduler 1: MultiStepLRMethod 1: Epoch [1/100], lr:0.0100, Loss:1.7961, Time_for_epoch: 48.0114
Method 1: Epoch [2/100], lr:0.0100, Loss:1.2168, Time_for_epoch: 47.5337
Method 1: Epoch [3/100], lr:0.0100, Loss:0.9607, Time_for_epoch: 47.7664
Method 1: Epoch [4/100], lr:0.0100, Loss:0.8012, Time_for_epoch: 48.2428
Method 1: Epoch [5/100], lr:0.0100, Loss:0.6782, Time_for_epoch: 41.7285
Method 1: Epoch [6/100], lr:0.0100, Loss:0.6044, Time_for_epoch: 46.7474
Method 1: Epoch [7/100], lr:0.0100, Loss:0.5417, Time_for_epoch: 47.9594
Method 1: Epoch [8/100], lr:0.0100, Loss:0.4937, Time_for_epoch: 45.2796
Method 1: Epoch [9/100], lr:0.0100, Loss:0.4530, Time_for_epoch: 44.4862
Method 1: Epoch [10/100], lr:0.0100, Loss:0.4250, Time_for_epoch: 46.9284
Method 1: Epoch [11/100], lr:0.0010, Loss:0.2541, Time_for_epoch: 47.5409
Method 1: Epoch [12/100], lr:0.0010, Loss:0.1922, Time_for_epoch: 47.2490
Method 1: Epoch [13/100], lr:0.0010, Loss:0.1570, Time_for_epoch: 37.3543
Method 1: Epoch [14/100], lr:0.0010, Loss:0.1267, Time_for_epoch: 37.3288
