start Python
Time_data_preparation: 1.1926
General 0
(-(0.637926/(-1.428999)))
((1.271180*0.252407)+(x01/x00))
cos(x01/x01)
(-1/(0.372426))
sin(x00*(-1.426609))
(log(x01, 1.208820)-(0.620407)**(x00))
1/(0.840938*x01)
(log(0.520062)*cos(0.806777))
1/((-0.022412)+x01)
exp(x01*(-0.377991))
((0.135302-x01))**(((-0.472126)*x00))
(-(-x00))
1/(exp(-0.176681))
Gen 0 Tree 0: Epoch [57/100], lr:0.0004, Loss:0.0346, Time_for_epoch: 22.9108
Gen 0 Tree 0: Epoch [58/100], lr:0.0004, Loss:0.0390, Time_for_epoch: 22.8920
Gen 0 Tree 0: Epoch [59/100], lr:0.0004, Loss:0.0360, Time_for_epoch: 22.8963
Gen 0 Tree 0: Epoch [60/100], lr:0.0004, Loss:0.0272, Time_for_epoch: 22.9105
Gen 0 Tree 0: Epoch [61/100], lr:0.0004, Loss:0.0262, Time_for_epoch: 22.9136
Gen 0 Tree 0: Epoch [62/100], lr:0.0004, Loss:0.0287, Time_for_epoch: 22.9545
Gen 0 Tree 0: Epoch [63/100], lr:0.0004, Loss:0.0380, Time_for_epoch: 23.4750
Gen 0 Tree 0: Epoch [64/100], lr:0.0004, Loss:0.0330, Time_for_epoch: 23.2480
Gen 0 Tree 0: Epoch [65/100], lr:0.0004, Loss:0.0256, Time_for_epoch: 23.0458
Gen 0 Tree 0: Epoch [66/100], lr:0.0004, Loss:0.0298, Time_for_epoch: 23.0817
Gen 0 Tree 0: Epoch [67/100], lr:0.0004, Loss:0.0273, Time_for_epoch: 23.0258
Gen 0 Tree 0: Epoch [68/100], lr:0.0004, Loss:0.0209, Time_for_epoch: 23.0523
Gen 0 Tree 0: Epoch [69/100], lr:0.0004, Loss:0.0245, Time_for_epoch: 23.0497
Gen 0 Tree 0: Epoch [70/100], lr:0.0004, Loss:0.0309, Time_for_epoch: 23.0439
Gen 0 Tree 0: Epoch [71/100], lr:0.0004, Loss:0.0290, Time_for_epoch: 23.0323
Gen 0 Tree 0: Epoch [72/100], lr:0.0004, Loss:0.0254, Time_for_epoch: 23.0542
Gen 0 Tree 0: Epoch [73/100], lr:0.0004, Loss:0.0283, Time_for_epoch: 23.0351
Gen 0 Tree 0: Epoch [74/100], lr:0.0004, Loss:0.0249, Time_for_epoch: 23.0770
Gen 0 Tree 0: Epoch [75/100], lr:0.0004, Loss:0.0272, Time_for_epoch: 23.1998
Gen 0 Tree 0: Epoch [76/100], lr:0.0004, Loss:0.0236, Time_for_epoch: 23.0589
Gen 0 Tree 0: Epoch [77/100], lr:0.0004, Loss:0.0201, Time_for_epoch: 23.0849
Gen 0 Tree 0: Epoch [78/100], lr:0.0004, Loss:0.0255, Time_for_epoch: 23.0646
Gen 0 Tree 0: Epoch [79/100], lr:0.0004, Loss:0.0232, Time_for_epoch: 23.0419
Gen 0 Tree 0: Epoch [80/100], lr:0.0004, Loss:0.0280, Time_for_epoch: 23.0675
Gen 0 Tree 0: Epoch [81/100], lr:0.0004, Loss:0.0189, Time_for_epoch: 23.0571
Gen 0 Tree 0: Epoch [82/100], lr:0.0004, Loss:0.0199, Time_for_epoch: 23.0200
Gen 0 Tree 0: Epoch [83/100], lr:0.0004, Loss:0.0206, Time_for_epoch: 23.0261
Gen 0 Tree 0: Epoch [84/100], lr:0.0004, Loss:0.0250, Time_for_epoch: 23.0223
Gen 0 Tree 0: Epoch [85/100], lr:0.0004, Loss:0.0237, Time_for_epoch: 23.1251
Gen 0 Tree 0: Epoch [86/100], lr:0.0004, Loss:0.0260, Time_for_epoch: 23.0527
Gen 0 Tree 0: Epoch [87/100], lr:0.0004, Loss:0.0244, Time_for_epoch: 23.0504
Gen 0 Tree 0: Epoch [88/100], lr:0.0004, Loss:0.0168, Time_for_epoch: 23.0642
Gen 0 Tree 0: Epoch [89/100], lr:0.0004, Loss:0.0197, Time_for_epoch: 23.0631
Gen 0 Tree 0: Epoch [90/100], lr:0.0004, Loss:0.0218, Time_for_epoch: 23.0577
Gen 0 Tree 0: Epoch [91/100], lr:0.0004, Loss:0.0196, Time_for_epoch: 23.0351
Gen 0 Tree 0: Epoch [92/100], lr:0.0004, Loss:0.0218, Time_for_epoch: 23.0416
Gen 0 Tree 0: Epoch [93/100], lr:0.0004, Loss:0.0259, Time_for_epoch: 23.0324
Gen 0 Tree 0: Epoch [94/100], lr:0.0004, Loss:0.0183, Time_for_epoch: 23.0365
Gen 0 Tree 0: Epoch [95/100], lr:0.0004, Loss:0.0119, Time_for_epoch: 23.0461
Gen 0 Tree 0: Epoch [96/100], lr:0.0004, Loss:0.0218, Time_for_epoch: 23.0569
Gen 0 Tree 0: Epoch [97/100], lr:0.0004, Loss:0.0212, Time_for_epoch: 23.0751
Gen 0 Tree 0: Epoch [98/100], lr:0.0004, Loss:0.0245, Time_for_epoch: 23.0288
Gen 0 Tree 0: Epoch [99/100], lr:0.0004, Loss:0.0187, Time_for_epoch: 23.0710
Gen 0 Tree 0: Epoch [100/100], lr:0.0004, Loss:0.0148, Time_for_epoch: 23.0129
Tree 0: TestLoss: 1.2455, TestAccuracy: 0.8072, Time_for_individ: 2309.7887
Gen 0 Tree 1: Epoch [1/100], lr:0.0003, Loss:1.5295, Time_for_epoch: 23.0548
Gen 0 Tree 1: Epoch [2/100], lr:0.0003, Loss:1.1250, Time_for_epoch: 23.0291
Gen 0 Tree 1: Epoch [3/100], lr:0.0003, Loss:0.8892, Time_for_epoch: 23.0117
Gen 0 Tree 1: Epoch [4/100], lr:0.0003, Loss:0.7130, Time_for_epoch: 23.0509
Gen 0 Tree 1: Epoch [5/100], lr:0.0003, Loss:0.5737, Time_for_epoch: 23.0323
Gen 0 Tree 1: Epoch [6/100], lr:0.0003, Loss:0.4631, Time_for_epoch: 23.0024
Gen 0 Tree 1: Epoch [7/100], lr:0.0003, Loss:0.3606, Time_for_epoch: 23.0871
Gen 0 Tree 1: Epoch [8/100], lr:0.0003, Loss:0.2862, Time_for_epoch: 23.0403
Gen 0 Tree 1: Epoch [9/100], lr:0.0003, Loss:0.2279, Time_for_epoch: 22.9973
Gen 0 Tree 1: Epoch [10/100], lr:0.0003, Loss:0.1842, Time_for_epoch: 23.0169
Gen 0 Tree 1: Epoch [11/100], lr:0.0003, Loss:0.1557, Time_for_epoch: 23.0642
Gen 0 Tree 1: Epoch [12/100], lr:0.0003, Loss:0.1326, Time_for_epoch: 23.0881
Gen 0 Tree 1: Epoch [13/100], lr:0.0003, Loss:0.1261, Time_for_epoch: 23.0482
Gen 0 Tree 1: Epoch [14/100], lr:0.0003, Loss:0.1108, Time_for_epoch: 23.0490
Gen 0 Tree 1: Epoch [15/100], lr:0.0003, Loss:0.0993, Time_for_epoch: 23.0290
Gen 0 Tree 1: Epoch [16/100], lr:0.0003, Loss:0.1073, Time_for_epoch: 23.0323
Gen 0 Tree 1: Epoch [17/100], lr:0.0003, Loss:0.0949, Time_for_epoch: 23.0860
Gen 0 Tree 1: Epoch [18/100], lr:0.0003, Loss:0.0807, Time_for_epoch: 23.0364
Gen 0 Tree 1: Epoch [19/100], lr:0.0003, Loss:0.0831, Time_for_epoch: 23.0504
Gen 0 Tree 1: Epoch [20/100], lr:0.0003, Loss:0.0819, Time_for_epoch: 23.0424
Gen 0 Tree 1: Epoch [21/100], lr:0.0003, Loss:0.0793, Time_for_epoch: 23.0587
Gen 0 Tree 1: Epoch [22/100], lr:0.0003, Loss:0.0858, Time_for_epoch: 23.0279
Gen 0 Tree 1: Epoch [23/100], lr:0.0003, Loss:0.0690, Time_for_epoch: 23.0661
Gen 0 Tree 1: Epoch [24/100], lr:0.0003, Loss:0.0704, Time_for_epoch: 23.0511
Gen 0 Tree 1: Epoch [25/100], lr:0.0003, Loss:0.0713, Time_for_epoch: 23.0605
Gen 0 Tree 1: Epoch [26/100], lr:0.0003, Loss:0.0641, Time_for_epoch: 23.0666
Gen 0 Tree 1: Epoch [27/100], lr:0.0003, Loss:0.0636, Time_for_epoch: 23.0880
Gen 0 Tree 1: Epoch [28/100], lr:0.0003, Loss:0.0622, Time_for_epoch: 23.0273
Gen 0 Tree 1: Epoch [29/100], lr:0.0003, Loss:0.0686, Time_for_epoch: 23.0415
Gen 0 Tree 1: Epoch [30/100], lr:0.0003, Loss:0.0619, Time_for_epoch: 23.0504
Gen 0 Tree 1: Epoch [31/100], lr:0.0003, Loss:0.0535, Time_for_epoch: 23.0431
Gen 0 Tree 1: Epoch [32/100], lr:0.0003, Loss:0.0536, Time_for_epoch: 23.0720
Gen 0 Tree 1: Epoch [33/100], lr:0.0003, Loss:0.0576, Time_for_epoch: 23.0406
Gen 0 Tree 1: Epoch [34/100], lr:0.0003, Loss:0.0571, Time_for_epoch: 22.8911
Gen 0 Tree 1: Epoch [35/100], lr:0.0003, Loss:0.0567, Time_for_epoch: 22.9279
Gen 0 Tree 1: Epoch [36/100], lr:0.0003, Loss:0.0550, Time_for_epoch: 22.9474
Gen 0 Tree 1: Epoch [37/100], lr:0.0003, Loss:0.0432, Time_for_epoch: 22.9709
Gen 0 Tree 1: Epoch [38/100], lr:0.0003, Loss:0.0407, Time_for_epoch: 23.0707
Gen 0 Tree 1: Epoch [39/100], lr:0.0003, Loss:0.0540, Time_for_epoch: 23.0518
Gen 0 Tree 1: Epoch [40/100], lr:0.0003, Loss:0.0508, Time_for_epoch: 23.0427
Gen 0 Tree 1: Epoch [41/100], lr:0.0003, Loss:0.0444, Time_for_epoch: 23.0524
Gen 0 Tree 1: Epoch [42/100], lr:0.0003, Loss:0.0460, Time_for_epoch: 23.0372
Gen 0 Tree 1: Epoch [43/100], lr:0.0003, Loss:0.0398, Time_for_epoch: 23.0534
Gen 0 Tree 1: Epoch [44/100], lr:0.0003, Loss:0.0448, Time_for_epoch: 23.0496
Gen 0 Tree 1: Epoch [45/100], lr:0.0003, Loss:0.0452, Time_for_epoch: 23.0791
Gen 0 Tree 1: Epoch [46/100], lr:0.0003, Loss:0.0399, Time_for_epoch: 23.0443
Gen 0 Tree 1: Epoch [47/100], lr:0.0003, Loss:0.0417, Time_for_epoch: 23.0812
Gen 0 Tree 1: Epoch [48/100], lr:0.0003, Loss:0.0375, Time_for_epoch: 23.0617
Gen 0 Tree 1: Epoch [49/100], lr:0.0003, Loss:0.0439, Time_for_epoch: 23.0318
Gen 0 Tree 1: Epoch [50/100], lr:0.0003, Loss:0.0407, Time_for_epoch: 23.0362
Gen 0 Tree 1: Epoch [51/100], lr:0.0003, Loss:0.0309, Time_for_epoch: 23.0434
Gen 0 Tree 1: Epoch [52/100], lr:0.0003, Loss:0.0407, Time_for_epoch: 23.0663
Gen 0 Tree 1: Epoch [53/100], lr:0.0003, Loss:0.0394, Time_for_epoch: 23.0333
Gen 0 Tree 1: Epoch [54/100], lr:0.0003, Loss:0.0299, Time_for_epoch: 23.0373
Gen 0 Tree 1: Epoch [55/100], lr:0.0003, Loss:0.0314, Time_for_epoch: 23.0334
Gen 0 Tree 1: Epoch [56/100], lr:0.0003, Loss:0.0442, Time_for_epoch: 23.0632
Gen 0 Tree 1: Epoch [57/100], lr:0.0003, Loss:0.0399, Time_for_epoch: 23.0579
Gen 0 Tree 1: Epoch [58/100], lr:0.0003, Loss:0.0270, Time_for_epoch: 23.0602
Gen 0 Tree 1: Epoch [59/100], lr:0.0003, Loss:0.0368, Time_for_epoch: 23.0429
Gen 0 Tree 1: Epoch [60/100], lr:0.0003, Loss:0.0315, Time_for_epoch: 23.0673
Gen 0 Tree 1: Epoch [61/100], lr:0.0003, Loss:0.0267, Time_for_epoch: 22.8769
Gen 0 Tree 1: Epoch [62/100], lr:0.0003, Loss:0.0292, Time_for_epoch: 22.8875
Gen 0 Tree 1: Epoch [63/100], lr:0.0003, Loss:0.0348, Time_for_epoch: 22.8866
Gen 0 Tree 1: Epoch [64/100], lr:0.0003, Loss:0.0361, Time_for_epoch: 22.8541
Gen 0 Tree 1: Epoch [65/100], lr:0.0003, Loss:0.0280, Time_for_epoch: 22.9005
Gen 0 Tree 1: Epoch [66/100], lr:0.0003, Loss:0.0277, Time_for_epoch: 22.9144
Gen 0 Tree 1: Epoch [67/100], lr:0.0003, Loss:0.0280, Time_for_epoch: 22.8791
Gen 0 Tree 1: Epoch [68/100], lr:0.0003, Loss:0.0266, Time_for_epoch: 22.9419
Gen 0 Tree 1: Epoch [69/100], lr:0.0003, Loss:0.0351, Time_for_epoch: 22.9045
Gen 0 Tree 1: Epoch [70/100], lr:0.0003, Loss:0.0290, Time_for_epoch: 22.8778
Gen 0 Tree 1: Epoch [71/100], lr:0.0003, Loss:0.0246, Time_for_epoch: 22.8808
Gen 0 Tree 1: Epoch [72/100], lr:0.0003, Loss:0.0282, Time_for_epoch: 22.9114
Gen 0 Tree 1: Epoch [73/100], lr:0.0003, Loss:0.0236, Time_for_epoch: 22.8797
Gen 0 Tree 1: Epoch [74/100], lr:0.0003, Loss:0.0300, Time_for_epoch: 22.8922
Gen 0 Tree 1: Epoch [75/100], lr:0.0003, Loss:0.0256, Time_for_epoch: 22.8809
Gen 0 Tree 1: Epoch [76/100], lr:0.0003, Loss:0.0270, Time_for_epoch: 22.8944
Gen 0 Tree 1: Epoch [77/100], lr:0.0003, Loss:0.0237, Time_for_epoch: 22.8660
Gen 0 Tree 1: Epoch [78/100], lr:0.0003, Loss:0.0223, Time_for_epoch: 22.8712
