start Python
Time_data_preparation: 1.2040
General 0
(sin(3.141593)*cos(0.433665))
sin(exp(0.143431))
((x00/x01)/((-0.131818)/(-0.406578)))
(sin(x01)*1/(-0.128106))
cos(cos(0.249268))
log((x00/2.075837), (0.685211)**(x01))
1/(x01+0.557923)
1/(1/(-0.576128))
((-(-0.443794))-log(x00))
exp(x01-1.816487)
(-exp(x00))
sin((-0.285104)-1.012083)
Gen 0 Tree 0: Epoch [56/100], lr:-0.0000, Loss:2.3486, Time_for_epoch: 22.8295
Gen 0 Tree 0: Epoch [57/100], lr:-0.0000, Loss:2.3493, Time_for_epoch: 22.8029
Gen 0 Tree 0: Epoch [58/100], lr:-0.0000, Loss:2.3485, Time_for_epoch: 22.8163
Gen 0 Tree 0: Epoch [59/100], lr:-0.0000, Loss:2.3490, Time_for_epoch: 22.8438
Gen 0 Tree 0: Epoch [60/100], lr:-0.0000, Loss:2.3487, Time_for_epoch: 22.8092
Gen 0 Tree 0: Epoch [61/100], lr:-0.0000, Loss:2.3489, Time_for_epoch: 22.8372
Gen 0 Tree 0: Epoch [62/100], lr:-0.0000, Loss:2.3486, Time_for_epoch: 22.8256
Gen 0 Tree 0: Epoch [63/100], lr:-0.0000, Loss:2.3489, Time_for_epoch: 22.8541
Gen 0 Tree 0: Epoch [64/100], lr:-0.0000, Loss:2.3487, Time_for_epoch: 22.8195
Gen 0 Tree 0: Epoch [65/100], lr:-0.0000, Loss:2.3497, Time_for_epoch: 22.8399
Gen 0 Tree 0: Epoch [66/100], lr:-0.0000, Loss:2.3486, Time_for_epoch: 22.8214
Gen 0 Tree 0: Epoch [67/100], lr:-0.0000, Loss:2.3485, Time_for_epoch: 22.8581
Gen 0 Tree 0: Epoch [68/100], lr:-0.0000, Loss:2.3486, Time_for_epoch: 22.8313
Gen 0 Tree 0: Epoch [69/100], lr:-0.0000, Loss:2.3493, Time_for_epoch: 22.8414
Gen 0 Tree 0: Epoch [70/100], lr:-0.0000, Loss:2.3485, Time_for_epoch: 22.8418
Gen 0 Tree 0: Epoch [71/100], lr:-0.0000, Loss:2.3485, Time_for_epoch: 22.8225
Gen 0 Tree 0: Epoch [72/100], lr:-0.0000, Loss:2.3488, Time_for_epoch: 22.8521
Gen 0 Tree 0: Epoch [73/100], lr:-0.0000, Loss:2.3491, Time_for_epoch: 22.8311
Gen 0 Tree 0: Epoch [74/100], lr:-0.0000, Loss:2.3484, Time_for_epoch: 22.8320
Gen 0 Tree 0: Epoch [75/100], lr:-0.0000, Loss:2.3489, Time_for_epoch: 22.8285
Gen 0 Tree 0: Epoch [76/100], lr:-0.0000, Loss:2.3489, Time_for_epoch: 22.8225
Gen 0 Tree 0: Epoch [77/100], lr:-0.0000, Loss:2.3489, Time_for_epoch: 22.8301
Gen 0 Tree 0: Epoch [78/100], lr:-0.0000, Loss:2.3490, Time_for_epoch: 22.8274
Gen 0 Tree 0: Epoch [79/100], lr:-0.0000, Loss:2.3485, Time_for_epoch: 22.8438
Gen 0 Tree 0: Epoch [80/100], lr:-0.0000, Loss:2.3487, Time_for_epoch: 22.8206
Gen 0 Tree 0: Epoch [81/100], lr:-0.0000, Loss:2.3491, Time_for_epoch: 22.8419
Gen 0 Tree 0: Epoch [82/100], lr:-0.0000, Loss:2.3491, Time_for_epoch: 22.8195
Gen 0 Tree 0: Epoch [83/100], lr:-0.0000, Loss:2.3495, Time_for_epoch: 22.8291
Gen 0 Tree 0: Epoch [84/100], lr:-0.0000, Loss:2.3487, Time_for_epoch: 22.8308
Gen 0 Tree 0: Epoch [85/100], lr:-0.0000, Loss:2.3490, Time_for_epoch: 22.8327
Gen 0 Tree 0: Epoch [86/100], lr:-0.0000, Loss:2.3488, Time_for_epoch: 22.8229
Gen 0 Tree 0: Epoch [87/100], lr:-0.0000, Loss:2.3490, Time_for_epoch: 22.8150
Gen 0 Tree 0: Epoch [88/100], lr:-0.0000, Loss:2.3486, Time_for_epoch: 22.8524
Gen 0 Tree 0: Epoch [89/100], lr:-0.0000, Loss:2.3491, Time_for_epoch: 23.0049
