start Python
Time_data_preparation: 1.1087
Testing scheduler 0: ReduceLROnPlateau
Method 0: Epoch [69/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 23.7066
Method 0: Epoch [70/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 21.6952
Method 0: Epoch [71/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 23.7182
Method 0: Epoch [72/100], lr:0.0000, Loss:0.0002, Time_for_epoch: 22.6207
Method 0: Epoch [73/100], lr:0.0000, Loss:0.0001, Time_for_epoch: 23.7446
Method 0: Epoch [74/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 23.4808
Method 0: Epoch [75/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 23.8574
Method 0: Epoch [76/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 23.7452
Method 0: Epoch [77/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 23.6515
Method 0: Epoch [78/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 21.1626
Method 0: Epoch [79/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 21.5485
Method 0: Epoch [80/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 23.8734
Method 0: Epoch [81/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 23.7853
Method 0: Epoch [82/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 23.6799
Method 0: Epoch [83/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 23.3566
Method 0: Epoch [84/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 23.6551
Method 0: Epoch [85/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 23.6979
Method 0: Epoch [86/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 23.7085
Method 0: Epoch [87/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 23.7145
Method 0: Epoch [88/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 23.7002
Method 0: Epoch [89/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 23.7461
Method 0: Epoch [90/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 23.6718
Method 0: Epoch [91/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 23.6895
Method 0: Epoch [92/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 23.6737
Method 0: Epoch [93/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 23.6987
Method 0: Epoch [94/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 23.6462
Method 0: Epoch [95/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 20.3210
Method 0: Epoch [96/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 20.7816
Method 0: Epoch [97/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 21.1998
Method 0: Epoch [98/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 23.7108
Method 0: Epoch [99/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 23.7156
Method 0: Epoch [100/100], lr:0.0000, Loss:0.0000, Time_for_epoch: 23.6964
Method 0: TestLoss: 1.2680, TestAccuracy: 0.8495, Time_for_individ: 2360.0844
Testing scheduler 0: ReduceLROnPlateau
Method 0: Epoch [1/100], lr:0.0010, Loss:1.3713, Time_for_epoch: 23.8755
Method 0: Epoch [2/100], lr:0.0010, Loss:0.9255, Time_for_epoch: 19.7372
Method 0: Epoch [3/100], lr:0.0010, Loss:0.7235, Time_for_epoch: 20.2391
Method 0: Epoch [4/100], lr:0.0010, Loss:0.5922, Time_for_epoch: 24.0094
Method 0: Epoch [5/100], lr:0.0010, Loss:0.4934, Time_for_epoch: 23.8323
Method 0: Epoch [6/100], lr:0.0010, Loss:0.4169, Time_for_epoch: 23.8980
Method 0: Epoch [7/100], lr:0.0010, Loss:0.3589, Time_for_epoch: 23.8940
Method 0: Epoch [8/100], lr:0.0010, Loss:0.2986, Time_for_epoch: 23.7542
Method 0: Epoch [9/100], lr:0.0010, Loss:0.2651, Time_for_epoch: 22.9728
Method 0: Epoch [10/100], lr:0.0010, Loss:0.2229, Time_for_epoch: 24.0939
Method 0: Epoch [11/100], lr:0.0010, Loss:0.1936, Time_for_epoch: 24.0566
