start Python
Time_data_preparation: 1.0694
Testing scheduler 0: CyclicLR
Method 0: Epoch [69/100], lr:0.0046, Loss:0.0025, Time_for_epoch: 51.0452
Method 0: Epoch [70/100], lr:0.0028, Loss:0.0006, Time_for_epoch: 51.0174
Method 0: Epoch [71/100], lr:0.0010, Loss:0.0004, Time_for_epoch: 51.0109
Method 0: Epoch [72/100], lr:0.0028, Loss:0.0003, Time_for_epoch: 51.0245
Method 0: Epoch [73/100], lr:0.0046, Loss:0.0045, Time_for_epoch: 51.0048
Method 0: Epoch [74/100], lr:0.0064, Loss:0.0582, Time_for_epoch: 50.9888
Method 0: Epoch [75/100], lr:0.0082, Loss:0.0369, Time_for_epoch: 51.0367
Method 0: Epoch [76/100], lr:0.0100, Loss:0.0506, Time_for_epoch: 51.0296
Method 0: Epoch [77/100], lr:0.0082, Loss:0.0160, Time_for_epoch: 51.0068
Method 0: Epoch [78/100], lr:0.0064, Loss:0.0088, Time_for_epoch: 51.0326
Method 0: Epoch [79/100], lr:0.0046, Loss:0.0022, Time_for_epoch: 51.0251
Method 0: Epoch [80/100], lr:0.0028, Loss:0.0009, Time_for_epoch: 51.0232
Method 0: Epoch [81/100], lr:0.0010, Loss:0.0004, Time_for_epoch: 51.0180
Method 0: Epoch [82/100], lr:0.0028, Loss:0.0003, Time_for_epoch: 51.0409
Method 0: Epoch [83/100], lr:0.0046, Loss:0.0004, Time_for_epoch: 51.0113
Method 0: Epoch [84/100], lr:0.0064, Loss:0.0591, Time_for_epoch: 51.0120
Method 0: Epoch [85/100], lr:0.0082, Loss:0.0336, Time_for_epoch: 51.0193
Method 0: Epoch [86/100], lr:0.0100, Loss:0.0475, Time_for_epoch: 51.0212
Method 0: Epoch [87/100], lr:0.0082, Loss:0.0122, Time_for_epoch: 51.0248
Method 0: Epoch [88/100], lr:0.0064, Loss:0.0046, Time_for_epoch: 51.0172
Method 0: Epoch [89/100], lr:0.0046, Loss:0.0021, Time_for_epoch: 51.0279
Method 0: Epoch [90/100], lr:0.0028, Loss:0.0008, Time_for_epoch: 51.0106
Method 0: Epoch [91/100], lr:0.0010, Loss:0.0004, Time_for_epoch: 51.0296
Method 0: Epoch [92/100], lr:0.0028, Loss:0.0002, Time_for_epoch: 51.0021
Method 0: Epoch [93/100], lr:0.0046, Loss:0.0006, Time_for_epoch: 51.0278
Method 0: Epoch [94/100], lr:0.0064, Loss:0.0524, Time_for_epoch: 50.9963
Method 0: Epoch [95/100], lr:0.0082, Loss:0.0311, Time_for_epoch: 51.0148
Method 0: Epoch [96/100], lr:0.0100, Loss:0.0373, Time_for_epoch: 51.0313
Method 0: Epoch [97/100], lr:0.0082, Loss:0.0114, Time_for_epoch: 51.0296
Method 0: Epoch [98/100], lr:0.0064, Loss:0.0044, Time_for_epoch: 51.0182
Method 0: Epoch [99/100], lr:0.0046, Loss:0.0011, Time_for_epoch: 51.0307
Method 0: Epoch [100/100], lr:0.0028, Loss:0.0004, Time_for_epoch: 51.0191
Method 0: TestLoss: 0.5936, TestAccuracy: 0.8998, Time_for_individ: 5098.5525
Testing scheduler 1: CyclicLR
Method 1: Epoch [1/100], lr:0.0100, Loss:1.7823, Time_for_epoch: 51.0450
Method 1: Epoch [2/100], lr:0.0028, Loss:1.1464, Time_for_epoch: 51.0119
Method 1: Epoch [3/100], lr:0.0046, Loss:0.9518, Time_for_epoch: 51.0095
Method 1: Epoch [4/100], lr:0.0064, Loss:0.8059, Time_for_epoch: 51.0024
Method 1: Epoch [5/100], lr:0.0082, Loss:0.6859, Time_for_epoch: 51.0092
Method 1: Epoch [6/100], lr:0.0100, Loss:0.5895, Time_for_epoch: 51.0217
Method 1: Epoch [7/100], lr:0.0082, Loss:0.4613, Time_for_epoch: 51.0080
Method 1: Epoch [8/100], lr:0.0064, Loss:0.3636, Time_for_epoch: 51.0065
Method 1: Epoch [9/100], lr:0.0046, Loss:0.2681, Time_for_epoch: 51.0399
Method 1: Epoch [10/100], lr:0.0028, Loss:0.1777, Time_for_epoch: 51.0253
Method 1: Epoch [11/100], lr:0.0010, Loss:0.0877, Time_for_epoch: 50.6120
Method 1: Epoch [12/100], lr:0.0019, Loss:0.0802, Time_for_epoch: 51.0556
Method 1: Epoch [13/100], lr:0.0028, Loss:0.1182, Time_for_epoch: 50.9786
Method 1: Epoch [14/100], lr:0.0037, Loss:0.1433, Time_for_epoch: 50.9018
Method 1: Epoch [15/100], lr:0.0046, Loss:0.1433, Time_for_epoch: 50.9865
Method 1: Epoch [16/100], lr:0.0055, Loss:0.1557, Time_for_epoch: 51.0607
Method 1: Epoch [17/100], lr:0.0046, Loss:0.0850, Time_for_epoch: 50.9904
Method 1: Epoch [18/100], lr:0.0037, Loss:0.0525, Time_for_epoch: 51.0279
Method 1: Epoch [19/100], lr:0.0028, Loss:0.0207, Time_for_epoch: 50.9687
Method 1: Epoch [20/100], lr:0.0019, Loss:0.0067, Time_for_epoch: 51.0362
Method 1: Epoch [21/100], lr:0.0010, Loss:0.0025, Time_for_epoch: 51.0283
Method 1: Epoch [22/100], lr:0.0015, Loss:0.0019, Time_for_epoch: 51.0190
Method 1: Epoch [23/100], lr:0.0019, Loss:0.0045, Time_for_epoch: 51.0245
Method 1: Epoch [24/100], lr:0.0023, Loss:0.0650, Time_for_epoch: 51.0041
Method 1: Epoch [25/100], lr:0.0028, Loss:0.0422, Time_for_epoch: 50.9940
Method 1: Epoch [26/100], lr:0.0033, Loss:0.0519, Time_for_epoch: 51.0317
Method 1: Epoch [27/100], lr:0.0028, Loss:0.0208, Time_for_epoch: 51.0281
Method 1: Epoch [28/100], lr:0.0023, Loss:0.0112, Time_for_epoch: 51.0162
Method 1: Epoch [29/100], lr:0.0019, Loss:0.0055, Time_for_epoch: 51.0066
Method 1: Epoch [30/100], lr:0.0015, Loss:0.0020, Time_for_epoch: 51.0368
Method 1: Epoch [31/100], lr:0.0010, Loss:0.0009, Time_for_epoch: 51.0479
Method 1: Epoch [32/100], lr:0.0012, Loss:0.0007, Time_for_epoch: 51.0467
Method 1: Epoch [33/100], lr:0.0015, Loss:0.0004, Time_for_epoch: 51.0563
Method 1: Epoch [34/100], lr:0.0017, Loss:0.0139, Time_for_epoch: 51.0251
Method 1: Epoch [35/100], lr:0.0019, Loss:0.0405, Time_for_epoch: 51.0480
Method 1: Epoch [36/100], lr:0.0021, Loss:0.0110, Time_for_epoch: 51.0485
Method 1: Epoch [37/100], lr:0.0019, Loss:0.0082, Time_for_epoch: 51.0494
Method 1: Epoch [38/100], lr:0.0017, Loss:0.0044, Time_for_epoch: 51.0574
Method 1: Epoch [39/100], lr:0.0015, Loss:0.0021, Time_for_epoch: 51.0515
Method 1: Epoch [40/100], lr:0.0012, Loss:0.0012, Time_for_epoch: 51.0360
Method 1: Epoch [41/100], lr:0.0010, Loss:0.0007, Time_for_epoch: 51.0549
Method 1: Epoch [42/100], lr:0.0011, Loss:0.0004, Time_for_epoch: 51.0511
Method 1: Epoch [43/100], lr:0.0012, Loss:0.0006, Time_for_epoch: 51.0495
Method 1: Epoch [44/100], lr:0.0013, Loss:0.0230, Time_for_epoch: 51.0559
Method 1: Epoch [45/100], lr:0.0015, Loss:0.0106, Time_for_epoch: 51.0654
Method 1: Epoch [46/100], lr:0.0016, Loss:0.0036, Time_for_epoch: 51.0457
Method 1: Epoch [47/100], lr:0.0015, Loss:0.0035, Time_for_epoch: 51.0540
Method 1: Epoch [48/100], lr:0.0013, Loss:0.0026, Time_for_epoch: 51.0433
Method 1: Epoch [49/100], lr:0.0012, Loss:0.0017, Time_for_epoch: 51.0534
Method 1: Epoch [50/100], lr:0.0011, Loss:0.0011, Time_for_epoch: 51.0133
Method 1: Epoch [51/100], lr:0.0010, Loss:0.0013, Time_for_epoch: 51.0305
Method 1: Epoch [52/100], lr:0.0011, Loss:0.0017, Time_for_epoch: 51.0296
Method 1: Epoch [53/100], lr:0.0011, Loss:0.0128, Time_for_epoch: 50.9857
Method 1: Epoch [54/100], lr:0.0012, Loss:0.0029, Time_for_epoch: 50.6319
Method 1: Epoch [55/100], lr:0.0012, Loss:0.0025, Time_for_epoch: 51.0303
Method 1: Epoch [56/100], lr:0.0013, Loss:0.0037, Time_for_epoch: 51.0097
Method 1: Epoch [57/100], lr:0.0012, Loss:0.0054, Time_for_epoch: 51.0372
Method 1: Epoch [58/100], lr:0.0012, Loss:0.0036, Time_for_epoch: 51.0282
Method 1: Epoch [59/100], lr:0.0011, Loss:0.0023, Time_for_epoch: 51.0250
Method 1: Epoch [60/100], lr:0.0011, Loss:0.0018, Time_for_epoch: 51.0275
Method 1: Epoch [61/100], lr:0.0010, Loss:0.0012, Time_for_epoch: 51.0330
Method 1: Epoch [62/100], lr:0.0010, Loss:0.0017, Time_for_epoch: 51.0192
Method 1: Epoch [63/100], lr:0.0011, Loss:0.0060, Time_for_epoch: 51.0342
Method 1: Epoch [64/100], lr:0.0011, Loss:0.0059, Time_for_epoch: 51.0378
Method 1: Epoch [65/100], lr:0.0011, Loss:0.0048, Time_for_epoch: 51.0071
Method 1: Epoch [66/100], lr:0.0011, Loss:0.0018, Time_for_epoch: 51.0298
Method 1: Epoch [67/100], lr:0.0011, Loss:0.0016, Time_for_epoch: 51.0473
Method 1: Epoch [68/100], lr:0.0011, Loss:0.0034, Time_for_epoch: 51.0246
Method 1: Epoch [69/100], lr:0.0011, Loss:0.0042, Time_for_epoch: 51.0319
Method 1: Epoch [70/100], lr:0.0010, Loss:0.0027, Time_for_epoch: 51.0207
