StepLR	MultiStepLR	ExponentialLR	CosineAnnealingLR
1.1070 0.8679	1.2638 0.8476	1.3208 0.8626	nan 0.8354	
1.0783 0.8644	nan 0.8555	1.2909 0.8636	0.7301 0.8368	
1.0343 0.8673	0.7844 0.8590	1.2838 0.8644	0.6659 0.8483	
1.1150 0.8637	nan 0.8541	1.1819 0.8687	0.6921 0.8481	
1.1249 0.8660	0.8378 0.8604	1.3266 0.8614	0.7163 0.8351	
1.2064 0.8589	nan 0.8565	1.3723 0.8520	0.7624 0.8434	
1.0521 0.8704	nan 0.8551	1.2254 0.8686	0.7028 0.8419	
1.0321 0.8694	0.8779 0.8599	1.3295 0.8585	0.7065 0.8437	
1.1689 0.8617	nan 0.8629	1.2754 0.8620	0.7332 0.8408	
1.1311 0.8606	0.8048 0.8630	1.2841 0.8622	0.7203 0.8445	
