start Python
Time_data_preparation: 8.2893
Testing expression cos(cos(e))
[0.85755322 0.91465333 0.54869613 0.79387345 0.96003693 0.57338048
Epoch [19/50], lr:0.0005, Loss:0.0403, Time_for_epoch: 108.1537
Epoch [20/50], lr:0.0009, Loss:0.1336, Time_for_epoch: 108.1414
Epoch [21/50], lr:0.0009, Loss:0.1136, Time_for_epoch: 108.1561
Epoch [22/50], lr:0.0005, Loss:0.0354, Time_for_epoch: 108.1415
Epoch [23/50], lr:0.0009, Loss:0.0770, Time_for_epoch: 108.1423
Epoch [24/50], lr:0.0009, Loss:0.1289, Time_for_epoch: 108.1609
Epoch [25/50], lr:0.0005, Loss:0.0374, Time_for_epoch: 108.1571
Epoch [26/50], lr:0.0008, Loss:0.0456, Time_for_epoch: 108.1427
Epoch [27/50], lr:0.0010, Loss:0.1507, Time_for_epoch: 108.1526
Epoch [28/50], lr:0.0006, Loss:0.0395, Time_for_epoch: 108.1483
Epoch [29/50], lr:0.0007, Loss:0.0198, Time_for_epoch: 108.1588
Epoch [30/50], lr:0.0010, Loss:0.1486, Time_for_epoch: 108.1754
Epoch [31/50], lr:0.0006, Loss:0.0460, Time_for_epoch: 108.1614
Epoch [32/50], lr:0.0007, Loss:0.0173, Time_for_epoch: 108.1567
Epoch [33/50], lr:0.0010, Loss:0.1322, Time_for_epoch: 108.1670
Epoch [34/50], lr:0.0007, Loss:0.0438, Time_for_epoch: 108.1699
Epoch [35/50], lr:0.0006, Loss:0.0124, Time_for_epoch: 108.1557
Epoch [36/50], lr:0.0010, Loss:0.1055, Time_for_epoch: 108.1624
Epoch [37/50], lr:0.0007, Loss:0.0553, Time_for_epoch: 108.1647
Epoch [38/50], lr:0.0006, Loss:0.0171, Time_for_epoch: 108.1525
Epoch [39/50], lr:0.0010, Loss:0.0815, Time_for_epoch: 108.1584
Epoch [40/50], lr:0.0008, Loss:0.0538, Time_for_epoch: 108.1547
Epoch [41/50], lr:0.0006, Loss:0.0156, Time_for_epoch: 108.1544
Epoch [42/50], lr:0.0009, Loss:0.0624, Time_for_epoch: 108.1600
Epoch [43/50], lr:0.0008, Loss:0.0661, Time_for_epoch: 108.1525
Epoch [44/50], lr:0.0005, Loss:0.0184, Time_for_epoch: 108.1691
Epoch [45/50], lr:0.0009, Loss:0.0306, Time_for_epoch: 108.1693
Epoch [46/50], lr:0.0009, Loss:0.0797, Time_for_epoch: 108.1556
Epoch [47/50], lr:0.0005, Loss:0.0184, Time_for_epoch: 108.1567
Epoch [48/50], lr:0.0008, Loss:0.0094, Time_for_epoch: 108.1683
Epoch [49/50], lr:0.0010, Loss:0.0992, Time_for_epoch: 108.3009
Epoch [50/50], lr:0.0006, Loss:0.0286, Time_for_epoch: 109.3026
TestLoss: 0.8133, TestAccuracy: 0.8356, Time_for_individ: 5416.5587
Epoch [1/50], lr:0.0009, Loss:1.4329, Time_for_epoch: 109.2657
Epoch [2/50], lr:0.0009, Loss:0.9755, Time_for_epoch: 109.3089
Epoch [3/50], lr:0.0005, Loss:0.6759, Time_for_epoch: 109.3086
Epoch [4/50], lr:0.0008, Loss:0.6087, Time_for_epoch: 109.3093
Epoch [5/50], lr:0.0010, Loss:0.5467, Time_for_epoch: 109.3076
Epoch [6/50], lr:0.0006, Loss:0.3580, Time_for_epoch: 109.3042
Epoch [7/50], lr:0.0007, Loss:0.3385, Time_for_epoch: 109.3149
Epoch [8/50], lr:0.0010, Loss:0.3703, Time_for_epoch: 109.3181
Epoch [9/50], lr:0.0006, Loss:0.2052, Time_for_epoch: 109.3134
Epoch [10/50], lr:0.0007, Loss:0.1587, Time_for_epoch: 109.3141
Epoch [11/50], lr:0.0010, Loss:0.2831, Time_for_epoch: 109.2991
Epoch [12/50], lr:0.0007, Loss:0.1317, Time_for_epoch: 109.3186
Epoch [13/50], lr:0.0006, Loss:0.0760, Time_for_epoch: 109.3130
Epoch [14/50], lr:0.0010, Loss:0.2415, Time_for_epoch: 109.3149
Epoch [15/50], lr:0.0007, Loss:0.1130, Time_for_epoch: 109.3218
Epoch [16/50], lr:0.0006, Loss:0.0465, Time_for_epoch: 109.3140
Epoch [17/50], lr:0.0010, Loss:0.1908, Time_for_epoch: 109.3160
Epoch [18/50], lr:0.0008, Loss:0.1079, Time_for_epoch: 109.3244
Epoch [19/50], lr:0.0005, Loss:0.0370, Time_for_epoch: 109.3127
Epoch [20/50], lr:0.0009, Loss:0.1377, Time_for_epoch: 109.3156
Epoch [21/50], lr:0.0009, Loss:0.1099, Time_for_epoch: 109.3117
Epoch [22/50], lr:0.0005, Loss:0.0367, Time_for_epoch: 109.3228
Epoch [23/50], lr:0.0009, Loss:0.0864, Time_for_epoch: 109.3309
Epoch [24/50], lr:0.0009, Loss:0.1259, Time_for_epoch: 109.3212
Epoch [25/50], lr:0.0005, Loss:0.0353, Time_for_epoch: 109.3187
Epoch [26/50], lr:0.0008, Loss:0.0395, Time_for_epoch: 109.3053
Epoch [27/50], lr:0.0010, Loss:0.1578, Time_for_epoch: 109.3188
Epoch [28/50], lr:0.0006, Loss:0.0362, Time_for_epoch: 109.3139
Epoch [29/50], lr:0.0007, Loss:0.0217, Time_for_epoch: 109.3186
Epoch [30/50], lr:0.0010, Loss:0.1333, Time_for_epoch: 109.3219
Epoch [31/50], lr:0.0006, Loss:0.0407, Time_for_epoch: 109.3199
Epoch [32/50], lr:0.0007, Loss:0.0151, Time_for_epoch: 109.3144
Epoch [33/50], lr:0.0010, Loss:0.1406, Time_for_epoch: 109.3165
Epoch [34/50], lr:0.0007, Loss:0.0450, Time_for_epoch: 109.3159
Epoch [35/50], lr:0.0006, Loss:0.0118, Time_for_epoch: 109.3095
Epoch [36/50], lr:0.0010, Loss:0.1105, Time_for_epoch: 109.3196
Epoch [37/50], lr:0.0007, Loss:0.0510, Time_for_epoch: 109.3207
Epoch [38/50], lr:0.0006, Loss:0.0127, Time_for_epoch: 109.3172
Epoch [39/50], lr:0.0010, Loss:0.0814, Time_for_epoch: 109.3012
Epoch [40/50], lr:0.0008, Loss:0.0653, Time_for_epoch: 109.3158
Epoch [41/50], lr:0.0006, Loss:0.0149, Time_for_epoch: 109.3091
Epoch [42/50], lr:0.0009, Loss:0.0467, Time_for_epoch: 109.3181
Epoch [43/50], lr:0.0008, Loss:0.0752, Time_for_epoch: 109.3150
Epoch [44/50], lr:0.0005, Loss:0.0191, Time_for_epoch: 109.3116
Epoch [45/50], lr:0.0009, Loss:0.0166, Time_for_epoch: 109.3048
