start Python
Time_data_preparation: 1.2053
Testing expression (e)**0.29[1.         1.22264028 1.37519778 1.49484925 1.59478191 1.6813722
 1.75824112 1.8276629  1.89116895 1.9498446  2.00448993 2.05571337
Epoch [63/100], lr:0.0033, Loss:0.0432, Time_for_epoch: 47.4847
Epoch [64/100], lr:0.0033, Loss:0.0429, Time_for_epoch: 47.4115
Epoch [65/100], lr:0.0034, Loss:0.0374, Time_for_epoch: 47.4665
Epoch [66/100], lr:0.0034, Loss:0.0468, Time_for_epoch: 44.5747
Epoch [67/100], lr:0.0034, Loss:0.0376, Time_for_epoch: 38.5790
Epoch [68/100], lr:0.0034, Loss:0.0378, Time_for_epoch: 37.8210
Epoch [69/100], lr:0.0034, Loss:0.0432, Time_for_epoch: 38.1885
Epoch [70/100], lr:0.0034, Loss:0.0295, Time_for_epoch: 37.5340
Epoch [71/100], lr:0.0034, Loss:0.0467, Time_for_epoch: 38.6749
Epoch [72/100], lr:0.0035, Loss:0.0350, Time_for_epoch: 43.6683
Epoch [73/100], lr:0.0035, Loss:0.0338, Time_for_epoch: 47.5512
Epoch [74/100], lr:0.0035, Loss:0.0364, Time_for_epoch: 42.1121
Epoch [75/100], lr:0.0035, Loss:0.0396, Time_for_epoch: 37.7026
Epoch [76/100], lr:0.0035, Loss:0.0343, Time_for_epoch: 37.4456
Epoch [77/100], lr:0.0035, Loss:0.0335, Time_for_epoch: 37.9752
Epoch [78/100], lr:0.0035, Loss:0.0387, Time_for_epoch: 37.9162
Epoch [79/100], lr:0.0036, Loss:0.0304, Time_for_epoch: 43.4112
Epoch [80/100], lr:0.0036, Loss:0.0352, Time_for_epoch: 47.4621
Epoch [81/100], lr:0.0036, Loss:0.0318, Time_for_epoch: 47.5418
Epoch [82/100], lr:0.0036, Loss:0.0318, Time_for_epoch: 47.7572
Epoch [83/100], lr:0.0036, Loss:0.0315, Time_for_epoch: 48.2257
Epoch [84/100], lr:0.0036, Loss:0.0282, Time_for_epoch: 43.0543
Epoch [85/100], lr:0.0036, Loss:0.0311, Time_for_epoch: 45.4149
Epoch [86/100], lr:0.0036, Loss:0.0336, Time_for_epoch: 47.9948
Epoch [87/100], lr:0.0037, Loss:0.0309, Time_for_epoch: 45.2702
Epoch [88/100], lr:0.0037, Loss:0.0278, Time_for_epoch: 44.4112
Epoch [89/100], lr:0.0037, Loss:0.0341, Time_for_epoch: 47.1104
Epoch [90/100], lr:0.0037, Loss:0.0297, Time_for_epoch: 47.3302
Epoch [91/100], lr:0.0037, Loss:0.0316, Time_for_epoch: 47.5546
Epoch [92/100], lr:0.0037, Loss:0.0225, Time_for_epoch: 38.4129
Epoch [93/100], lr:0.0037, Loss:0.0320, Time_for_epoch: 37.3481
Epoch [94/100], lr:0.0037, Loss:0.0260, Time_for_epoch: 37.1816
Epoch [95/100], lr:0.0037, Loss:0.0233, Time_for_epoch: 37.1480
Epoch [96/100], lr:0.0038, Loss:0.0368, Time_for_epoch: 38.1513
Epoch [97/100], lr:0.0038, Loss:0.0252, Time_for_epoch: 38.0904
Epoch [98/100], lr:0.0038, Loss:0.0191, Time_for_epoch: 38.3946
Epoch [99/100], lr:0.0038, Loss:0.0317, Time_for_epoch: 38.0284
Epoch [100/100], lr:0.0038, Loss:0.0290, Time_for_epoch: 37.7576
TestLoss: 0.8405, TestAccuracy: 0.8551, Time_for_individ: 4334.6786
Epoch [1/100], lr:0.0010, Loss:1.4196, Time_for_epoch: 45.7096
Epoch [2/100], lr:0.0012, Loss:0.9663, Time_for_epoch: 47.6620
Epoch [3/100], lr:0.0014, Loss:0.7596, Time_for_epoch: 47.4977
Epoch [4/100], lr:0.0015, Loss:0.6221, Time_for_epoch: 40.6655
Epoch [5/100], lr:0.0016, Loss:0.5362, Time_for_epoch: 36.9930
Epoch [6/100], lr:0.0017, Loss:0.4707, Time_for_epoch: 36.9834
Epoch [7/100], lr:0.0018, Loss:0.4182, Time_for_epoch: 36.9626
Epoch [8/100], lr:0.0018, Loss:0.3684, Time_for_epoch: 37.4860
Epoch [9/100], lr:0.0019, Loss:0.3293, Time_for_epoch: 37.7168
Epoch [10/100], lr:0.0019, Loss:0.3025, Time_for_epoch: 38.2385
Epoch [11/100], lr:0.0020, Loss:0.2732, Time_for_epoch: 37.3743
Epoch [12/100], lr:0.0021, Loss:0.2423, Time_for_epoch: 37.1642
Epoch [13/100], lr:0.0021, Loss:0.2299, Time_for_epoch: 37.1323
Epoch [14/100], lr:0.0021, Loss:0.2044, Time_for_epoch: 37.4335
Epoch [15/100], lr:0.0022, Loss:0.1944, Time_for_epoch: 37.1348
Epoch [16/100], lr:0.0022, Loss:0.1817, Time_for_epoch: 37.2966
Epoch [17/100], lr:0.0023, Loss:0.1640, Time_for_epoch: 37.9909
Epoch [18/100], lr:0.0023, Loss:0.1535, Time_for_epoch: 37.1998
Epoch [19/100], lr:0.0023, Loss:0.1389, Time_for_epoch: 37.3146
Epoch [20/100], lr:0.0024, Loss:0.1372, Time_for_epoch: 37.3599
Epoch [21/100], lr:0.0024, Loss:0.1322, Time_for_epoch: 37.1237
Epoch [22/100], lr:0.0025, Loss:0.1246, Time_for_epoch: 37.3097
Epoch [23/100], lr:0.0025, Loss:0.1139, Time_for_epoch: 37.2605
Epoch [24/100], lr:0.0025, Loss:0.1117, Time_for_epoch: 37.9776
Epoch [25/100], lr:0.0025, Loss:0.0999, Time_for_epoch: 44.2187
Epoch [26/100], lr:0.0026, Loss:0.1075, Time_for_epoch: 48.0622
Epoch [27/100], lr:0.0026, Loss:0.1021, Time_for_epoch: 47.7014
Epoch [28/100], lr:0.0026, Loss:0.0889, Time_for_epoch: 41.8547
Epoch [29/100], lr:0.0027, Loss:0.0936, Time_for_epoch: 37.3059
Epoch [30/100], lr:0.0027, Loss:0.0870, Time_for_epoch: 36.9688
Epoch [31/100], lr:0.0027, Loss:0.0802, Time_for_epoch: 37.0306
Epoch [32/100], lr:0.0027, Loss:0.0817, Time_for_epoch: 36.9750
Epoch [33/100], lr:0.0028, Loss:0.0811, Time_for_epoch: 37.0797
Epoch [34/100], lr:0.0028, Loss:0.0826, Time_for_epoch: 37.0505
Epoch [35/100], lr:0.0028, Loss:0.0701, Time_for_epoch: 36.9196
Epoch [36/100], lr:0.0028, Loss:0.0761, Time_for_epoch: 36.9678
Epoch [37/100], lr:0.0028, Loss:0.0704, Time_for_epoch: 36.9527
Epoch [38/100], lr:0.0029, Loss:0.0717, Time_for_epoch: 36.9845
Epoch [39/100], lr:0.0029, Loss:0.0624, Time_for_epoch: 38.3819
Epoch [40/100], lr:0.0029, Loss:0.0713, Time_for_epoch: 37.0128
Epoch [41/100], lr:0.0029, Loss:0.0605, Time_for_epoch: 36.9541
Epoch [42/100], lr:0.0030, Loss:0.0612, Time_for_epoch: 36.9878
Epoch [43/100], lr:0.0030, Loss:0.0630, Time_for_epoch: 36.9328
Epoch [44/100], lr:0.0030, Loss:0.0609, Time_for_epoch: 38.1092
Epoch [45/100], lr:0.0030, Loss:0.0592, Time_for_epoch: 37.0247
Epoch [46/100], lr:0.0030, Loss:0.0555, Time_for_epoch: 36.9505
Epoch [47/100], lr:0.0031, Loss:0.0671, Time_for_epoch: 36.9975
Epoch [48/100], lr:0.0031, Loss:0.0456, Time_for_epoch: 36.9800
Epoch [49/100], lr:0.0031, Loss:0.0483, Time_for_epoch: 37.7690
Epoch [50/100], lr:0.0031, Loss:0.0620, Time_for_epoch: 36.8601
Epoch [51/100], lr:0.0031, Loss:0.0505, Time_for_epoch: 36.8248
Epoch [52/100], lr:0.0031, Loss:0.0505, Time_for_epoch: 37.0900
Epoch [53/100], lr:0.0032, Loss:0.0524, Time_for_epoch: 36.9345
Epoch [54/100], lr:0.0032, Loss:0.0484, Time_for_epoch: 36.9999
Epoch [55/100], lr:0.0032, Loss:0.0495, Time_for_epoch: 36.9608
Epoch [56/100], lr:0.0032, Loss:0.0446, Time_for_epoch: 36.9595
Epoch [57/100], lr:0.0032, Loss:0.0506, Time_for_epoch: 36.9041
Epoch [58/100], lr:0.0032, Loss:0.0441, Time_for_epoch: 36.9797
