start Python
Time_data_preparation: 1.0781
Testing expression log(e)[0.         0.69314718 1.09861229 1.38629436 1.60943791 1.79175947
 1.94591015 2.07944154 2.19722458 2.30258509 2.39789527 2.48490665
Epoch [63/100], lr:0.0041, Loss:0.0396, Time_for_epoch: 22.1369
Epoch [64/100], lr:0.0042, Loss:0.0421, Time_for_epoch: 22.0801
Epoch [65/100], lr:0.0042, Loss:0.0411, Time_for_epoch: 22.1543
Epoch [66/100], lr:0.0042, Loss:0.0384, Time_for_epoch: 22.1678
Epoch [67/100], lr:0.0042, Loss:0.0400, Time_for_epoch: 22.1377
Epoch [68/100], lr:0.0042, Loss:0.0407, Time_for_epoch: 22.1659
Epoch [69/100], lr:0.0042, Loss:0.0371, Time_for_epoch: 22.1495
Epoch [70/100], lr:0.0042, Loss:0.0421, Time_for_epoch: 22.1518
Epoch [71/100], lr:0.0043, Loss:0.0330, Time_for_epoch: 22.1535
Epoch [72/100], lr:0.0043, Loss:0.0342, Time_for_epoch: 22.1450
Epoch [73/100], lr:0.0043, Loss:0.0431, Time_for_epoch: 22.0980
Epoch [74/100], lr:0.0043, Loss:0.0311, Time_for_epoch: 22.1450
Epoch [75/100], lr:0.0043, Loss:0.0372, Time_for_epoch: 22.1100
Epoch [76/100], lr:0.0043, Loss:0.0313, Time_for_epoch: 22.1324
Epoch [77/100], lr:0.0043, Loss:0.0340, Time_for_epoch: 22.1572
Epoch [78/100], lr:0.0044, Loss:0.0356, Time_for_epoch: 22.1272
Epoch [79/100], lr:0.0044, Loss:0.0317, Time_for_epoch: 22.1336
Epoch [80/100], lr:0.0044, Loss:0.0346, Time_for_epoch: 22.1606
Epoch [81/100], lr:0.0044, Loss:0.0332, Time_for_epoch: 22.1463
Epoch [82/100], lr:0.0044, Loss:0.0343, Time_for_epoch: 22.1564
Epoch [83/100], lr:0.0044, Loss:0.0283, Time_for_epoch: 22.0955
Epoch [84/100], lr:0.0044, Loss:0.0319, Time_for_epoch: 22.1511
Epoch [85/100], lr:0.0044, Loss:0.0314, Time_for_epoch: 22.1400
Epoch [86/100], lr:0.0045, Loss:0.0311, Time_for_epoch: 22.1284
Epoch [87/100], lr:0.0045, Loss:0.0251, Time_for_epoch: 22.1506
Epoch [88/100], lr:0.0045, Loss:0.0284, Time_for_epoch: 22.1366
Epoch [89/100], lr:0.0045, Loss:0.0303, Time_for_epoch: 22.1052
Epoch [90/100], lr:0.0045, Loss:0.0338, Time_for_epoch: 21.7798
Epoch [91/100], lr:0.0045, Loss:0.0220, Time_for_epoch: 22.1355
Epoch [92/100], lr:0.0045, Loss:0.0256, Time_for_epoch: 22.1357
Epoch [93/100], lr:0.0045, Loss:0.0348, Time_for_epoch: 22.1509
Epoch [94/100], lr:0.0045, Loss:0.0234, Time_for_epoch: 22.1583
Epoch [95/100], lr:0.0046, Loss:0.0211, Time_for_epoch: 22.1675
Epoch [96/100], lr:0.0046, Loss:0.0335, Time_for_epoch: 22.1445
Epoch [97/100], lr:0.0046, Loss:0.0290, Time_for_epoch: 22.1529
Epoch [98/100], lr:0.0046, Loss:0.0258, Time_for_epoch: 22.1651
Epoch [99/100], lr:0.0046, Loss:0.0245, Time_for_epoch: 22.1615
Epoch [100/100], lr:0.0046, Loss:0.0230, Time_for_epoch: 22.1600
