start Python
Time_data_preparation: 1.1842
Testing scheduler 0: StepLR
Method 0: Epoch [69/150], lr:0.0032, Loss:0.2040, Time_for_epoch: 45.3922
Method 0: Epoch [70/150], lr:0.0031, Loss:0.1955, Time_for_epoch: 45.3809
Method 0: Epoch [71/150], lr:0.0031, Loss:0.1948, Time_for_epoch: 45.3725
Method 0: Epoch [72/150], lr:0.0031, Loss:0.1837, Time_for_epoch: 45.4492
Method 0: Epoch [73/150], lr:0.0029, Loss:0.1700, Time_for_epoch: 45.3933
Method 0: Epoch [74/150], lr:0.0029, Loss:0.1607, Time_for_epoch: 45.4050
Method 0: Epoch [75/150], lr:0.0029, Loss:0.1667, Time_for_epoch: 45.3996
Method 0: Epoch [76/150], lr:0.0028, Loss:0.1611, Time_for_epoch: 45.3706
Method 0: Epoch [77/150], lr:0.0028, Loss:0.1452, Time_for_epoch: 45.3844
Method 0: Epoch [78/150], lr:0.0028, Loss:0.1540, Time_for_epoch: 45.3436
Method 0: Epoch [79/150], lr:0.0026, Loss:0.1402, Time_for_epoch: 45.3804
Method 0: Epoch [80/150], lr:0.0026, Loss:0.1393, Time_for_epoch: 45.4107
Method 0: Epoch [81/150], lr:0.0026, Loss:0.1346, Time_for_epoch: 45.3699
Method 0: Epoch [82/150], lr:0.0025, Loss:0.1294, Time_for_epoch: 45.3921
Method 0: Epoch [83/150], lr:0.0025, Loss:0.1184, Time_for_epoch: 44.9395
Method 0: Epoch [84/150], lr:0.0025, Loss:0.1175, Time_for_epoch: 45.3727
Method 0: Epoch [85/150], lr:0.0024, Loss:0.1156, Time_for_epoch: 45.3903
Method 0: Epoch [86/150], lr:0.0024, Loss:0.1095, Time_for_epoch: 45.3730
Method 0: Epoch [87/150], lr:0.0024, Loss:0.1118, Time_for_epoch: 45.3914
Method 0: Epoch [88/150], lr:0.0023, Loss:0.1111, Time_for_epoch: 45.6409
Method 0: Epoch [89/150], lr:0.0023, Loss:0.1058, Time_for_epoch: 45.8106
Method 0: Epoch [90/150], lr:0.0023, Loss:0.1036, Time_for_epoch: 45.7996
Method 0: Epoch [91/150], lr:0.0021, Loss:0.0937, Time_for_epoch: 45.8283
Method 0: Epoch [92/150], lr:0.0021, Loss:0.0974, Time_for_epoch: 45.8158
Method 0: Epoch [93/150], lr:0.0021, Loss:0.0922, Time_for_epoch: 45.7954
Method 0: Epoch [94/150], lr:0.0020, Loss:0.0841, Time_for_epoch: 45.8165
Method 0: Epoch [95/150], lr:0.0020, Loss:0.0902, Time_for_epoch: 45.8263
Method 0: Epoch [96/150], lr:0.0020, Loss:0.0885, Time_for_epoch: 45.8194
Method 0: Epoch [97/150], lr:0.0019, Loss:0.0815, Time_for_epoch: 45.6909
Method 0: Epoch [98/150], lr:0.0019, Loss:0.0803, Time_for_epoch: 45.6722
Method 0: Epoch [99/150], lr:0.0019, Loss:0.0819, Time_for_epoch: 45.8415
Method 0: Epoch [100/150], lr:0.0018, Loss:0.0732, Time_for_epoch: 45.7938
Method 0: Epoch [101/150], lr:0.0018, Loss:0.0697, Time_for_epoch: 45.8009
Method 0: Epoch [102/150], lr:0.0018, Loss:0.0716, Time_for_epoch: 45.8373
Method 0: Epoch [103/150], lr:0.0017, Loss:0.0673, Time_for_epoch: 45.8739
Method 0: Epoch [104/150], lr:0.0017, Loss:0.0688, Time_for_epoch: 45.8224
Method 0: Epoch [105/150], lr:0.0017, Loss:0.0648, Time_for_epoch: 45.8076
Method 0: Epoch [106/150], lr:0.0017, Loss:0.0622, Time_for_epoch: 45.8535
Method 0: Epoch [107/150], lr:0.0017, Loss:0.0641, Time_for_epoch: 45.8695
Method 0: Epoch [108/150], lr:0.0017, Loss:0.0644, Time_for_epoch: 45.8654
Method 0: Epoch [109/150], lr:0.0016, Loss:0.0588, Time_for_epoch: 45.7839
Method 0: Epoch [110/150], lr:0.0016, Loss:0.0548, Time_for_epoch: 45.7768
Method 0: Epoch [111/150], lr:0.0016, Loss:0.0609, Time_for_epoch: 45.8137
Method 0: Epoch [112/150], lr:0.0015, Loss:0.0534, Time_for_epoch: 45.8829
Method 0: Epoch [113/150], lr:0.0015, Loss:0.0495, Time_for_epoch: 45.8429
Method 0: Epoch [114/150], lr:0.0015, Loss:0.0492, Time_for_epoch: 45.8658
Method 0: Epoch [115/150], lr:0.0014, Loss:0.0527, Time_for_epoch: 45.8555
Method 0: Epoch [116/150], lr:0.0014, Loss:0.0481, Time_for_epoch: 45.7349
Method 0: Epoch [117/150], lr:0.0014, Loss:0.0470, Time_for_epoch: 45.7880
Method 0: Epoch [118/150], lr:0.0014, Loss:0.0476, Time_for_epoch: 45.7604
Method 0: Epoch [119/150], lr:0.0014, Loss:0.0504, Time_for_epoch: 45.7986
Method 0: Epoch [120/150], lr:0.0014, Loss:0.0423, Time_for_epoch: 45.8110
Method 0: Epoch [121/150], lr:0.0013, Loss:0.0434, Time_for_epoch: 45.7494
Method 0: Epoch [122/150], lr:0.0013, Loss:0.0379, Time_for_epoch: 45.2877
Method 0: Epoch [123/150], lr:0.0013, Loss:0.0429, Time_for_epoch: 45.7980
Method 0: Epoch [124/150], lr:0.0012, Loss:0.0392, Time_for_epoch: 45.8457
Method 0: Epoch [125/150], lr:0.0012, Loss:0.0352, Time_for_epoch: 45.8483
Method 0: Epoch [126/150], lr:0.0012, Loss:0.0389, Time_for_epoch: 45.8462
Method 0: Epoch [127/150], lr:0.0012, Loss:0.0377, Time_for_epoch: 46.0940
Method 0: Epoch [128/150], lr:0.0012, Loss:0.0346, Time_for_epoch: 45.9799
Method 0: Epoch [129/150], lr:0.0012, Loss:0.0367, Time_for_epoch: 45.9563
Method 0: Epoch [130/150], lr:0.0011, Loss:0.0346, Time_for_epoch: 46.1482
Method 0: Epoch [131/150], lr:0.0011, Loss:0.0323, Time_for_epoch: 46.2721
Method 0: Epoch [132/150], lr:0.0011, Loss:0.0335, Time_for_epoch: 46.2522
Method 0: Epoch [133/150], lr:0.0010, Loss:0.0351, Time_for_epoch: 46.3161
Method 0: Epoch [134/150], lr:0.0010, Loss:0.0326, Time_for_epoch: 46.2751
Method 0: Epoch [135/150], lr:0.0010, Loss:0.0303, Time_for_epoch: 46.2669
Method 0: Epoch [136/150], lr:0.0010, Loss:0.0278, Time_for_epoch: 46.2807
Method 0: Epoch [137/150], lr:0.0010, Loss:0.0286, Time_for_epoch: 46.2693
Method 0: Epoch [138/150], lr:0.0010, Loss:0.0289, Time_for_epoch: 46.3008
Method 0: Epoch [139/150], lr:0.0009, Loss:0.0269, Time_for_epoch: 46.2924
Method 0: Epoch [140/150], lr:0.0009, Loss:0.0255, Time_for_epoch: 46.2580
Method 0: Epoch [141/150], lr:0.0009, Loss:0.0296, Time_for_epoch: 46.2398
Method 0: Epoch [142/150], lr:0.0009, Loss:0.0274, Time_for_epoch: 46.2447
Method 0: Epoch [143/150], lr:0.0009, Loss:0.0252, Time_for_epoch: 46.2800
Method 0: Epoch [144/150], lr:0.0009, Loss:0.0232, Time_for_epoch: 46.2813
Method 0: Epoch [145/150], lr:0.0009, Loss:0.0267, Time_for_epoch: 46.2625
Method 0: Epoch [146/150], lr:0.0009, Loss:0.0229, Time_for_epoch: 46.3078
Method 0: Epoch [147/150], lr:0.0009, Loss:0.0234, Time_for_epoch: 46.2275
Method 0: Epoch [148/150], lr:0.0008, Loss:0.0223, Time_for_epoch: 46.2519
Method 0: Epoch [149/150], lr:0.0008, Loss:0.0208, Time_for_epoch: 46.2510
Method 0: Epoch [150/150], lr:0.0008, Loss:0.0219, Time_for_epoch: 46.2548
Method 0: TestLoss: 3.5692, TestAccuracy: 0.6488, Time_for_individ: 6953.4821
Testing scheduler 1: ExponentialLR
