start Python
Time_data_preparation: 1.2995
Testing expression cos(cos(e))
[0.85755322 0.91465333 0.54869613 0.79387345 0.96003693 0.57338048
Epoch [19/50], lr:0.0005, Loss:0.0258, Time_for_epoch: 44.1059
Epoch [20/50], lr:0.0009, Loss:0.0811, Time_for_epoch: 44.1183
Epoch [21/50], lr:0.0009, Loss:0.0638, Time_for_epoch: 44.1057
Epoch [22/50], lr:0.0005, Loss:0.0198, Time_for_epoch: 44.0980
Epoch [23/50], lr:0.0009, Loss:0.0614, Time_for_epoch: 44.1075
Epoch [24/50], lr:0.0009, Loss:0.0609, Time_for_epoch: 44.0968
Epoch [25/50], lr:0.0005, Loss:0.0169, Time_for_epoch: 44.0970
Epoch [26/50], lr:0.0008, Loss:0.0377, Time_for_epoch: 44.0783
Epoch [27/50], lr:0.0010, Loss:0.0669, Time_for_epoch: 44.1016
Epoch [28/50], lr:0.0006, Loss:0.0145, Time_for_epoch: 44.0800
Epoch [29/50], lr:0.0007, Loss:0.0296, Time_for_epoch: 44.1251
Epoch [30/50], lr:0.0010, Loss:0.0590, Time_for_epoch: 44.0937
Epoch [31/50], lr:0.0006, Loss:0.0171, Time_for_epoch: 44.0855
Epoch [32/50], lr:0.0007, Loss:0.0124, Time_for_epoch: 44.0776
Epoch [33/50], lr:0.0010, Loss:0.0683, Time_for_epoch: 44.1038
Epoch [34/50], lr:0.0007, Loss:0.0184, Time_for_epoch: 44.0796
Epoch [35/50], lr:0.0006, Loss:0.0112, Time_for_epoch: 44.0987
Epoch [36/50], lr:0.0010, Loss:0.0547, Time_for_epoch: 44.0875
Epoch [37/50], lr:0.0007, Loss:0.0183, Time_for_epoch: 44.0878
Epoch [38/50], lr:0.0006, Loss:0.0084, Time_for_epoch: 44.0746
Epoch [39/50], lr:0.0010, Loss:0.0430, Time_for_epoch: 44.0963
Epoch [40/50], lr:0.0008, Loss:0.0222, Time_for_epoch: 44.0896
Epoch [41/50], lr:0.0006, Loss:0.0065, Time_for_epoch: 44.0923
Epoch [42/50], lr:0.0009, Loss:0.0322, Time_for_epoch: 44.0724
Epoch [43/50], lr:0.0008, Loss:0.0321, Time_for_epoch: 44.0743
Epoch [44/50], lr:0.0005, Loss:0.0081, Time_for_epoch: 44.0810
Epoch [45/50], lr:0.0009, Loss:0.0219, Time_for_epoch: 44.0829
Epoch [46/50], lr:0.0009, Loss:0.0360, Time_for_epoch: 44.0577
Epoch [47/50], lr:0.0005, Loss:0.0082, Time_for_epoch: 43.8520
Epoch [48/50], lr:0.0008, Loss:0.0159, Time_for_epoch: 43.8528
Epoch [49/50], lr:0.0010, Loss:0.0335, Time_for_epoch: 43.8711
Epoch [50/50], lr:0.0006, Loss:0.0080, Time_for_epoch: 43.8625
TestLoss: 0.9522, TestAccuracy: 0.8602, Time_for_individ: 2204.4764
Epoch [1/50], lr:0.0009, Loss:1.7831, Time_for_epoch: 43.8362
Epoch [2/50], lr:0.0009, Loss:1.1721, Time_for_epoch: 43.8885
Epoch [3/50], lr:0.0005, Loss:0.8188, Time_for_epoch: 43.8723
Epoch [4/50], lr:0.0008, Loss:0.7069, Time_for_epoch: 43.8787
Epoch [5/50], lr:0.0010, Loss:0.5994, Time_for_epoch: 43.8764
Epoch [6/50], lr:0.0006, Loss:0.4113, Time_for_epoch: 43.8744
Epoch [7/50], lr:0.0007, Loss:0.3774, Time_for_epoch: 43.8848
Epoch [8/50], lr:0.0010, Loss:0.3693, Time_for_epoch: 43.8830
Epoch [9/50], lr:0.0006, Loss:0.2142, Time_for_epoch: 43.8859
Epoch [10/50], lr:0.0007, Loss:0.1778, Time_for_epoch: 43.8820
Epoch [11/50], lr:0.0010, Loss:0.2178, Time_for_epoch: 43.8718
Epoch [12/50], lr:0.0007, Loss:0.1079, Time_for_epoch: 43.8701
Epoch [13/50], lr:0.0006, Loss:0.0741, Time_for_epoch: 43.8797
Epoch [14/50], lr:0.0010, Loss:0.1454, Time_for_epoch: 43.8645
Epoch [15/50], lr:0.0007, Loss:0.0685, Time_for_epoch: 43.8670
Epoch [16/50], lr:0.0006, Loss:0.0313, Time_for_epoch: 43.8588
Epoch [17/50], lr:0.0010, Loss:0.1115, Time_for_epoch: 43.8601
Epoch [18/50], lr:0.0008, Loss:0.0571, Time_for_epoch: 43.8820
Epoch [19/50], lr:0.0005, Loss:0.0214, Time_for_epoch: 43.8650
Epoch [20/50], lr:0.0009, Loss:0.0856, Time_for_epoch: 43.8856
Epoch [21/50], lr:0.0009, Loss:0.0555, Time_for_epoch: 43.8763
Epoch [22/50], lr:0.0005, Loss:0.0161, Time_for_epoch: 43.8570
Epoch [23/50], lr:0.0009, Loss:0.0535, Time_for_epoch: 43.8795
Epoch [24/50], lr:0.0009, Loss:0.0567, Time_for_epoch: 43.8566
Epoch [25/50], lr:0.0005, Loss:0.0137, Time_for_epoch: 43.8566
Epoch [26/50], lr:0.0008, Loss:0.0401, Time_for_epoch: 43.8632
Epoch [27/50], lr:0.0010, Loss:0.0610, Time_for_epoch: 43.8651
Epoch [28/50], lr:0.0006, Loss:0.0133, Time_for_epoch: 43.8617
Epoch [29/50], lr:0.0007, Loss:0.0209, Time_for_epoch: 43.8739
Epoch [30/50], lr:0.0010, Loss:0.0590, Time_for_epoch: 43.8821
Epoch [31/50], lr:0.0006, Loss:0.0138, Time_for_epoch: 43.8587
Epoch [32/50], lr:0.0007, Loss:0.0111, Time_for_epoch: 43.8628
Epoch [33/50], lr:0.0010, Loss:0.0668, Time_for_epoch: 43.8716
Epoch [34/50], lr:0.0007, Loss:0.0131, Time_for_epoch: 43.8464
Epoch [35/50], lr:0.0006, Loss:0.0082, Time_for_epoch: 43.8579
Epoch [36/50], lr:0.0010, Loss:0.0548, Time_for_epoch: 43.8621
Epoch [37/50], lr:0.0007, Loss:0.0181, Time_for_epoch: 43.8539
Epoch [38/50], lr:0.0006, Loss:0.0088, Time_for_epoch: 43.8432
Epoch [39/50], lr:0.0010, Loss:0.0496, Time_for_epoch: 43.8581
Epoch [40/50], lr:0.0008, Loss:0.0213, Time_for_epoch: 43.8494
Epoch [41/50], lr:0.0006, Loss:0.0052, Time_for_epoch: 43.8546
Epoch [42/50], lr:0.0009, Loss:0.0381, Time_for_epoch: 43.8519
Epoch [43/50], lr:0.0008, Loss:0.0239, Time_for_epoch: 43.8430
Epoch [44/50], lr:0.0005, Loss:0.0050, Time_for_epoch: 43.8328
Epoch [45/50], lr:0.0009, Loss:0.0241, Time_for_epoch: 43.8514
Epoch [46/50], lr:0.0009, Loss:0.0298, Time_for_epoch: 43.8451
Epoch [47/50], lr:0.0005, Loss:0.0078, Time_for_epoch: 43.8465
Epoch [48/50], lr:0.0008, Loss:0.0150, Time_for_epoch: 43.8542
Epoch [49/50], lr:0.0010, Loss:0.0288, Time_for_epoch: 43.8640
Epoch [50/50], lr:0.0006, Loss:0.0086, Time_for_epoch: 43.8394
TestLoss: 0.8156, TestAccuracy: 0.8697, Time_for_individ: 2196.8973
Epoch [1/50], lr:0.0009, Loss:1.9220, Time_for_epoch: 43.8788
Epoch [2/50], lr:0.0009, Loss:1.1925, Time_for_epoch: 43.9254
Epoch [3/50], lr:0.0005, Loss:0.8128, Time_for_epoch: 43.9115
Epoch [4/50], lr:0.0008, Loss:0.6997, Time_for_epoch: 43.9192
Epoch [5/50], lr:0.0010, Loss:0.5898, Time_for_epoch: 43.9132
Epoch [6/50], lr:0.0006, Loss:0.4004, Time_for_epoch: 43.9375
Epoch [7/50], lr:0.0007, Loss:0.3721, Time_for_epoch: 43.9161
Epoch [8/50], lr:0.0010, Loss:0.3845, Time_for_epoch: 43.9360
Epoch [9/50], lr:0.0006, Loss:0.2180, Time_for_epoch: 43.9270
Epoch [10/50], lr:0.0007, Loss:0.1782, Time_for_epoch: 43.9150
Epoch [11/50], lr:0.0010, Loss:0.2293, Time_for_epoch: 43.9300
Epoch [12/50], lr:0.0007, Loss:0.1074, Time_for_epoch: 43.9206
Epoch [13/50], lr:0.0006, Loss:0.0736, Time_for_epoch: 43.9146
Epoch [14/50], lr:0.0010, Loss:0.1529, Time_for_epoch: 43.9129
Epoch [15/50], lr:0.0007, Loss:0.0669, Time_for_epoch: 43.9174
Epoch [16/50], lr:0.0006, Loss:0.0360, Time_for_epoch: 43.9157
Epoch [17/50], lr:0.0010, Loss:0.1090, Time_for_epoch: 43.9121
Epoch [18/50], lr:0.0008, Loss:0.0570, Time_for_epoch: 43.9148
Epoch [19/50], lr:0.0005, Loss:0.0244, Time_for_epoch: 43.8765
Epoch [20/50], lr:0.0009, Loss:0.0723, Time_for_epoch: 43.8957
Epoch [21/50], lr:0.0009, Loss:0.0601, Time_for_epoch: 43.8811
Epoch [22/50], lr:0.0005, Loss:0.0169, Time_for_epoch: 43.8855
Epoch [23/50], lr:0.0009, Loss:0.0595, Time_for_epoch: 43.9047
Epoch [24/50], lr:0.0009, Loss:0.0539, Time_for_epoch: 43.9082
Epoch [25/50], lr:0.0005, Loss:0.0153, Time_for_epoch: 43.8998
Epoch [26/50], lr:0.0008, Loss:0.0412, Time_for_epoch: 43.9220
Epoch [27/50], lr:0.0010, Loss:0.0576, Time_for_epoch: 43.9447
Epoch [28/50], lr:0.0006, Loss:0.0177, Time_for_epoch: 43.9246
Epoch [29/50], lr:0.0007, Loss:0.0239, Time_for_epoch: 43.9488
Epoch [30/50], lr:0.0010, Loss:0.0629, Time_for_epoch: 43.9287
Epoch [31/50], lr:0.0006, Loss:0.0139, Time_for_epoch: 43.9317
Epoch [32/50], lr:0.0007, Loss:0.0126, Time_for_epoch: 43.9206
Epoch [33/50], lr:0.0010, Loss:0.0630, Time_for_epoch: 43.9203
Epoch [34/50], lr:0.0007, Loss:0.0175, Time_for_epoch: 43.9267
Epoch [35/50], lr:0.0006, Loss:0.0084, Time_for_epoch: 43.9012
Epoch [36/50], lr:0.0010, Loss:0.0547, Time_for_epoch: 43.9364
Epoch [37/50], lr:0.0007, Loss:0.0200, Time_for_epoch: 43.9362
Epoch [38/50], lr:0.0006, Loss:0.0074, Time_for_epoch: 43.9046
Epoch [39/50], lr:0.0010, Loss:0.0507, Time_for_epoch: 43.9130
Epoch [40/50], lr:0.0008, Loss:0.0213, Time_for_epoch: 43.9189
Epoch [41/50], lr:0.0006, Loss:0.0077, Time_for_epoch: 43.8997
Epoch [42/50], lr:0.0009, Loss:0.0382, Time_for_epoch: 43.9217
Epoch [43/50], lr:0.0008, Loss:0.0259, Time_for_epoch: 43.8998
Epoch [44/50], lr:0.0005, Loss:0.0047, Time_for_epoch: 43.9061
Epoch [45/50], lr:0.0009, Loss:0.0203, Time_for_epoch: 43.9108
Epoch [46/50], lr:0.0009, Loss:0.0300, Time_for_epoch: 43.9119
Epoch [47/50], lr:0.0005, Loss:0.0074, Time_for_epoch: 43.9096
Epoch [48/50], lr:0.0008, Loss:0.0125, Time_for_epoch: 43.8897
Epoch [49/50], lr:0.0010, Loss:0.0398, Time_for_epoch: 43.9055
Epoch [50/50], lr:0.0006, Loss:0.0080, Time_for_epoch: 43.9042
TestLoss: 0.9576, TestAccuracy: 0.8610, Time_for_individ: 2199.4195
Epoch [1/50], lr:0.0009, Loss:1.9726, Time_for_epoch: 43.8876
Epoch [2/50], lr:0.0009, Loss:1.2755, Time_for_epoch: 43.9376
Epoch [3/50], lr:0.0005, Loss:0.9569, Time_for_epoch: 43.9452
Epoch [4/50], lr:0.0008, Loss:0.8417, Time_for_epoch: 43.9362
Epoch [5/50], lr:0.0010, Loss:0.7238, Time_for_epoch: 43.9368
Epoch [6/50], lr:0.0006, Loss:0.5203, Time_for_epoch: 43.9463
Epoch [7/50], lr:0.0007, Loss:0.4672, Time_for_epoch: 43.9528
Epoch [8/50], lr:0.0010, Loss:0.4573, Time_for_epoch: 43.9570
Epoch [9/50], lr:0.0006, Loss:0.2893, Time_for_epoch: 43.9464
Epoch [10/50], lr:0.0007, Loss:0.2399, Time_for_epoch: 43.9526
Epoch [11/50], lr:0.0010, Loss:0.2859, Time_for_epoch: 43.9433
Epoch [12/50], lr:0.0007, Loss:0.1497, Time_for_epoch: 43.9470
Epoch [13/50], lr:0.0006, Loss:0.0993, Time_for_epoch: 43.9160
Epoch [14/50], lr:0.0010, Loss:0.1740, Time_for_epoch: 43.9310
Epoch [15/50], lr:0.0007, Loss:0.0844, Time_for_epoch: 43.9199
Epoch [16/50], lr:0.0006, Loss:0.0441, Time_for_epoch: 43.9406
Epoch [17/50], lr:0.0010, Loss:0.1330, Time_for_epoch: 43.9402
Epoch [18/50], lr:0.0008, Loss:0.0677, Time_for_epoch: 43.9231
Epoch [19/50], lr:0.0005, Loss:0.0276, Time_for_epoch: 43.9358
Epoch [20/50], lr:0.0009, Loss:0.0872, Time_for_epoch: 43.9394
