немного неправильно сделала, первые 5 эпох не записалось
Method 0: Epoch [74/150], lr:0.0029, Loss:0.0146, Time_for_epoch: 15.4225
Method 0: Epoch [75/150], lr:0.0029, Loss:0.0224, Time_for_epoch: 15.4212
Method 0: Epoch [76/150], lr:0.0028, Loss:0.0077, Time_for_epoch: 15.4774
Method 0: Epoch [77/150], lr:0.0028, Loss:0.0127, Time_for_epoch: 15.5476
Method 0: Epoch [78/150], lr:0.0028, Loss:0.0159, Time_for_epoch: 15.5773
Method 0: Epoch [79/150], lr:0.0026, Loss:0.0078, Time_for_epoch: 15.5592
Method 0: Epoch [80/150], lr:0.0026, Loss:0.0110, Time_for_epoch: 15.5655
Method 0: Epoch [81/150], lr:0.0026, Loss:0.0154, Time_for_epoch: 15.5432
Method 0: Epoch [82/150], lr:0.0025, Loss:0.0153, Time_for_epoch: 15.5533
Method 0: Epoch [83/150], lr:0.0025, Loss:0.0082, Time_for_epoch: 15.5504
Method 0: Epoch [84/150], lr:0.0025, Loss:0.0133, Time_for_epoch: 15.4172
Method 0: Epoch [85/150], lr:0.0024, Loss:0.0072, Time_for_epoch: 15.4132
Method 0: Epoch [86/150], lr:0.0024, Loss:0.0078, Time_for_epoch: 15.4226
Method 0: Epoch [87/150], lr:0.0024, Loss:0.0053, Time_for_epoch: 15.4088
Method 0: Epoch [88/150], lr:0.0023, Loss:0.0086, Time_for_epoch: 15.4183
Method 0: Epoch [89/150], lr:0.0023, Loss:0.0064, Time_for_epoch: 15.4140
Method 0: Epoch [90/150], lr:0.0023, Loss:0.0062, Time_for_epoch: 15.4158
Method 0: Epoch [91/150], lr:0.0021, Loss:0.0117, Time_for_epoch: 15.4199
Method 0: Epoch [92/150], lr:0.0021, Loss:0.0066, Time_for_epoch: 15.4172
Method 0: Epoch [93/150], lr:0.0021, Loss:0.0094, Time_for_epoch: 15.4209
Method 0: Epoch [94/150], lr:0.0020, Loss:0.0065, Time_for_epoch: 15.4060
Method 0: Epoch [95/150], lr:0.0020, Loss:0.0083, Time_for_epoch: 15.4021
Method 0: Epoch [96/150], lr:0.0020, Loss:0.0031, Time_for_epoch: 15.4129
Method 0: Epoch [97/150], lr:0.0019, Loss:0.0066, Time_for_epoch: 15.4223
Method 0: Epoch [98/150], lr:0.0019, Loss:0.0043, Time_for_epoch: 15.4151
Method 0: Epoch [99/150], lr:0.0019, Loss:0.0063, Time_for_epoch: 15.4112
Method 0: Epoch [100/150], lr:0.0018, Loss:0.0082, Time_for_epoch: 15.4359
Method 0: Epoch [101/150], lr:0.0018, Loss:0.0053, Time_for_epoch: 15.4186
Method 0: Epoch [102/150], lr:0.0018, Loss:0.0057, Time_for_epoch: 15.4084
Method 0: Epoch [103/150], lr:0.0017, Loss:0.0035, Time_for_epoch: 15.4256
Method 0: Epoch [104/150], lr:0.0017, Loss:0.0030, Time_for_epoch: 15.4203
Method 0: Epoch [105/150], lr:0.0017, Loss:0.0068, Time_for_epoch: 15.4320
Method 0: Epoch [106/150], lr:0.0017, Loss:0.0038, Time_for_epoch: 15.4240
Method 0: Epoch [107/150], lr:0.0017, Loss:0.0040, Time_for_epoch: 15.4195
Method 0: Epoch [108/150], lr:0.0017, Loss:0.0059, Time_for_epoch: 15.4889
Method 0: Epoch [109/150], lr:0.0016, Loss:0.0038, Time_for_epoch: 15.2893
Method 0: Epoch [110/150], lr:0.0016, Loss:0.0020, Time_for_epoch: 15.2881
Method 0: Epoch [111/150], lr:0.0016, Loss:0.0015, Time_for_epoch: 15.2673
Method 0: Epoch [112/150], lr:0.0015, Loss:0.0056, Time_for_epoch: 15.2862
Method 0: Epoch [113/150], lr:0.0015, Loss:0.0042, Time_for_epoch: 15.2858
Method 0: Epoch [114/150], lr:0.0015, Loss:0.0043, Time_for_epoch: 15.2733
Method 0: Epoch [115/150], lr:0.0014, Loss:0.0025, Time_for_epoch: 15.2785
Method 0: Epoch [116/150], lr:0.0014, Loss:0.0027, Time_for_epoch: 15.2748
Method 0: Epoch [117/150], lr:0.0014, Loss:0.0027, Time_for_epoch: 15.2872
Method 0: Epoch [118/150], lr:0.0014, Loss:0.0023, Time_for_epoch: 15.2720
Method 0: Epoch [119/150], lr:0.0014, Loss:0.0015, Time_for_epoch: 15.2768
Method 0: Epoch [120/150], lr:0.0014, Loss:0.0047, Time_for_epoch: 15.2788
Method 0: Epoch [121/150], lr:0.0013, Loss:0.0027, Time_for_epoch: 15.2746
Method 0: Epoch [122/150], lr:0.0013, Loss:0.0018, Time_for_epoch: 15.2943
Method 0: Epoch [123/150], lr:0.0013, Loss:0.0048, Time_for_epoch: 15.2866
