start Python
Time_data_preparation: 2.9207
Testing expression cos(cos(e))
[0.85755322 0.91465333 0.54869613 0.79387345 0.96003693 0.57338048
 0.72902338 0.98943353 0.61285301 0.66815392 0.99999021 0.66458805
 0.61575952 0.99066602 0.72505098 0.57543575 0.96238083 0.78979801
 0.54977237 0.91788364 0.85370921 0.54033527 0.86137142 0.91137694
 0.54768388 0.7979444  0.95763009 0.57138334 0.73301155 0.98812682
 0.60999475 0.6717532  0.99991187 0.6610566  0.61871353 0.99182381
 0.72109555 0.57754864 0.9646609  0.78571941 0.55091235 0.92106671
 0.84984073 0.54043415 0.86516251 0.90805567 0.54673585 0.80200955
 0.95516121 0.5694448 ]
Epoch [1/50], lr:0.0009, Loss:4.0630, Time_for_epoch: 64.3517
Epoch [2/50], lr:0.0009, Loss:3.5335, Time_for_epoch: 60.0957
Epoch [3/50], lr:0.0005, Loss:2.9400, Time_for_epoch: 60.1707
Epoch [4/50], lr:0.0008, Loss:2.6512, Time_for_epoch: 60.2769
Epoch [5/50], lr:0.0010, Loss:2.3732, Time_for_epoch: 60.3017
Epoch [6/50], lr:0.0006, Loss:1.9597, Time_for_epoch: 60.3487
Epoch [7/50], lr:0.0007, Loss:1.8405, Time_for_epoch: 60.3680
Epoch [8/50], lr:0.0010, Loss:1.8101, Time_for_epoch: 60.3000
Epoch [9/50], lr:0.0006, Loss:1.4989, Time_for_epoch: 60.2895
Epoch [10/50], lr:0.0007, Loss:1.4033, Time_for_epoch: 60.3589
Epoch [11/50], lr:0.0010, Loss:1.4522, Time_for_epoch: 60.2822
Epoch [12/50], lr:0.0007, Loss:1.2112, Time_for_epoch: 60.3106
Epoch [13/50], lr:0.0006, Loss:1.0937, Time_for_epoch: 60.3552
Epoch [14/50], lr:0.0010, Loss:1.2183, Time_for_epoch: 60.3655
Epoch [15/50], lr:0.0007, Loss:1.0102, Time_for_epoch: 60.3007
Epoch [16/50], lr:0.0006, Loss:0.8564, Time_for_epoch: 60.3029
Epoch [17/50], lr:0.0010, Loss:0.9753, Time_for_epoch: 60.3704
Epoch [18/50], lr:0.0008, Loss:0.8290, Time_for_epoch: 60.3493
Epoch [19/50], lr:0.0005, Loss:0.6560, Time_for_epoch: 60.3787
Epoch [20/50], lr:0.0009, Loss:0.7627, Time_for_epoch: 60.3857
Epoch [21/50], lr:0.0009, Loss:0.6940, Time_for_epoch: 60.3740
Epoch [22/50], lr:0.0005, Loss:0.5224, Time_for_epoch: 60.5227
Epoch [23/50], lr:0.0009, Loss:0.5880, Time_for_epoch: 61.2814
Epoch [24/50], lr:0.0009, Loss:0.5757, Time_for_epoch: 61.2324
Epoch [25/50], lr:0.0005, Loss:0.3972, Time_for_epoch: 61.2380
Epoch [26/50], lr:0.0008, Loss:0.4358, Time_for_epoch: 61.2654
Epoch [27/50], lr:0.0010, Loss:0.4907, Time_for_epoch: 61.2454
Epoch [28/50], lr:0.0006, Loss:0.3154, Time_for_epoch: 61.2904
Epoch [29/50], lr:0.0007, Loss:0.3234, Time_for_epoch: 61.2836
Epoch [30/50], lr:0.0010, Loss:0.4359, Time_for_epoch: 61.2397
Epoch [31/50], lr:0.0006, Loss:0.2641, Time_for_epoch: 61.2208
Epoch [32/50], lr:0.0007, Loss:0.2386, Time_for_epoch: 61.2954
Epoch [33/50], lr:0.0010, Loss:0.3820, Time_for_epoch: 61.2355
